date,close,slow_ma_130SMA,fast_ma_44SMA
2021-04-14,63109.6953125,42280.992758413464,56511.87571022727
2021-04-15,63314.01171875,42619.21499399038,56851.308061079544
2021-04-16,61572.7890625,42945.22390324519,57102.093217329544
2021-04-17,60683.8203125,43271.09064002404,57377.60804332386
2021-04-18,56216.18359375,43560.800390625,57543.26438210227
2021-04-19,55724.265625,43848.948647836536,57698.079900568184
2021-04-20,56473.03125,44144.441932091344,57817.76944247159
2021-04-21,53906.08984375,44414.46065204327,57855.486860795456
2021-04-22,51762.2734375,44665.382887620195,57785.89950284091
2021-04-23,51093.65234375,44910.35987079327,57674.197265625
2021-04-24,50050.8671875,45146.004417067306,57497.96422230114
2021-04-25,49004.25390625,45359.03254206731,57308.69522372159
2021-04-26,54021.75390625,45599.16017127404,57144.574041193184
2021-04-27,55033.1171875,45844.50752704327,57047.54678622159
2021-04-28,54824.703125,46082.62192007212,57022.94460227273
2021-04-29,53555.109375,46313.989723557694,56949.08567116477
2021-04-30,57750.17578125,46582.81352163461,56923.614790482956
2021-05-01,57828.05078125,46844.69830228365,56922.91317471591
2021-05-02,56631.078125,47101.542397836536,56883.9228515625
2021-05-03,57200.29296875,47358.960426682694,56858.61940696023
2021-05-04,53333.5390625,47579.4892578125,56763.39479758523
2021-05-05,57424.0078125,47817.85057091346,56829.18714488636
2021-05-06,56396.515625,48049.57534555288,56866.859197443184
2021-05-07,57356.40234375,48282.43375901442,56970.99866832386
2021-05-08,58803.77734375,48524.29021935096,57132.35360440341
2021-05-09,58232.31640625,48750.377629206734,57202.69460227273
2021-05-10,55859.796875,48956.978215144234,57200.110174005684
2021-05-11,56704.57421875,49167.21222956731,57217.242631392044
2021-05-12,49150.53515625,49298.16044170673,57021.795720880684
2021-05-13,49716.19140625,49428.423272235574,56812.670720880684
2021-05-14,49880.53515625,49566.18189603365,56607.2548828125
2021-05-15,46760.1875,49664.39541766827,56326.899857954544
2021-05-16,46456.05859375,49738.485381610575,56033.07590553977
2021-05-17,43537.51171875,49770.53514122596,55713.38547585227
2021-05-18,42909.40234375,49786.779702524036,55353.17746803977
2021-05-19,37002.44140625,49761.76350661058,54851.917524857956
2021-05-20,40782.73828125,49780.427328725964,54456.244318181816
2021-05-21,37304.69140625,49793.79682992789,54030.238725142044
2021-05-22,37536.6328125,49821.594305889426,53557.799627130684
2021-05-23,34770.58203125,49802.01140324519,53024.2900390625
2021-05-24,38705.98046875,49798.308728966345,52545.03426846591
2021-05-25,38402.22265625,49810.43838641827,52049.517400568184
2021-05-26,39294.19921875,49834.408067908655,51581.3525390625
2021-05-27,38436.96875,49854.75954026442,51011.659623579544
