entry_date,exit_date,direction,entry_price,exit_price,exit_type,pct
2024-10-07,2024-10-11,SHORT,62236.66,62445.09,CS,-0.17
2024-10-11,2024-12-22,LONG,62445.09,95104.94,CL,156.91
2024-12-24,2024-12-26,LONG,98676.09,95795.52,SL,-6.0
2025-01-03,2025-01-07,LONG,98107.43,96922.7,SL,-6.0
2025-01-15,2025-01-16,LONG,100504.49,99756.91,SL,-6.0
2025-02-03,2025-02-04,LONG,101405.42,97871.82,SL,-6.0
2025-02-24,2025-03-02,SHORT,91418.17,94248.35,CS,-1.55
2025-03-02,2025-03-03,LONG,94248.35,86065.67,SL,-6.0
2025-03-03,2025-04-12,SHORT,86065.67,85287.11,CS,0.45
2025-04-13,2025-04-14,SHORT,83684.98,84542.39,CS,-0.51
2025-04-15,2025-04-16,SHORT,83668.99,84033.87,CS,-0.22
2025-04-22,2025-06-05,LONG,93441.89,101575.95,CL,26.11
2025-06-06,2025-06-17,LONG,104390.34,104601.12,CL,0.61
2025-06-24,2025-07-01,LONG,106045.63,105698.28,CL,-0.98
2025-07-02,2025-08-02,LONG,108859.32,112526.91,CL,10.11
2025-08-03,2025-08-18,LONG,114217.67,116252.31,CL,5.34
2025-08-29,2025-09-01,SHORT,108410.84,109250.59,CS,-0.39
2025-09-01,2025-09-22,LONG,109250.59,112748.51,CL,9.61
2025-09-25,2025-09-28,SHORT,109049.29,112122.64,CS,-1.41
2025-09-28,2025-10-10,LONG,112122.64,113214.37,SL,-6.0
2025-10-11,2025-10-12,SHORT,110807.88,115169.77,CS,-1.97
2025-10-12,2025-10-14,LONG,115169.77,113118.66,SL,-6.0
2025-10-14,2025-10-26,SHORT,113118.66,114472.45,CS,-0.6
2025-10-26,2025-10-27,LONG,114472.45,114119.33,CL,-0.93
2025-10-28,2026-01-02,SHORT,112956.16,89944.7,CS,10.19
2026-01-20,2026-03-12,SHORT,88310.91,70493.46,CS,10.09
2026-03-21,2026-03-23,SHORT,68711.52,70914.86,CS,-1.6
2026-03-26,2026-04-05,SHORT,68791.62,68981.9,CS,-0.14
