slow_ma_len,slow_ma_type,fast_ma_len,fast_ma_type,allow_longs,allow_shorts,leverage_long,leverage_short,sl_enable,sl_risk_pct,period_start,period_end,trades,pl_pct,ann_return,end_capital,max_dd,calmar,liq_risk,win_rate,profit_factor,expectancy,sharpe_trade,avg_win,avg_loss,max_win,max_loss,sl_hits,sl_hit_rate,ticker,period_name,mode
160,SMA,60,SMA,True,True,2.0,2.0,True,9.0,2021-04-14,2026-04-03,65,1312.46,308.68,14124.58,39.44,7.826,False,32.31,2.683,6.16,0.256,30.4,-5.41,126.9,-9.0,17,26.2,ETH-USD,2021_default,quick
160,SMA,44,SMA,True,True,3.0,1.25,True,12.0,2021-04-14,2026-04-03,71,1443.38,338.81,15433.79,44.17,7.671,False,33.8,2.549,6.88,0.22,33.51,-6.71,190.37,-12.0,13,18.3,ETH-USD,2021_default,quick
160,SMA,30,SMA,True,True,2.0,1.25,True,4.0,2021-04-14,2026-04-03,81,1127.82,264.74,12278.2,34.65,7.64,False,24.69,2.872,4.85,0.207,30.13,-3.44,157.2,-4.0,45,55.6,ETH-USD,2021_default,quick
160,SMA,44,SMA,True,True,3.0,2.0,True,9.0,2021-04-14,2026-04-03,72,1666.23,391.13,17662.35,55.5,7.047,False,30.56,2.565,7.44,0.222,39.93,-6.85,190.37,-9.0,30,41.7,ETH-USD,2021_default,quick
130,SMA,44,SMA,True,True,3.0,2.0,True,9.0,2021-04-14,2026-04-03,82,1594.0,370.6,16940.02,53.16,6.971,False,26.83,2.363,6.89,0.207,44.52,-6.91,190.37,-9.0,34,41.5,ETH-USD,2021_default,quick
130,SMA,60,SMA,True,True,2.0,1.0,True,9.0,2021-04-14,2026-04-03,75,964.41,224.65,10644.08,32.85,6.838,False,32.0,2.573,4.76,0.223,24.34,-4.45,126.9,-9.0,12,16.0,ETH-USD,2021_default,quick
160,SMA,44,SMA,True,True,2.0,1.25,True,9.0,2021-04-14,2026-04-03,71,994.43,233.43,10944.32,34.98,6.673,False,33.8,2.482,5.2,0.23,25.78,-5.3,126.91,-9.0,16,22.5,ETH-USD,2021_default,quick
160,SMA,44,SMA,True,True,2.0,2.0,True,12.0,2021-04-14,2026-04-03,71,1193.06,280.05,12930.58,42.01,6.666,False,33.8,2.345,6.2,0.228,31.96,-6.96,126.91,-12.0,17,23.9,ETH-USD,2021_default,quick
130,SMA,44,SMA,True,True,4.0,1.25,True,6.0,2021-04-14,2026-04-03,82,1190.62,276.81,12906.22,41.72,6.635,False,25.61,2.493,5.45,0.206,35.56,-4.91,132.44,-6.0,41,50.0,ETH-USD,2021_default,quick
130,SMA,60,SMA,True,True,3.0,1.0,True,6.0,2021-04-14,2026-04-03,75,764.33,178.04,8643.25,26.91,6.617,False,29.33,2.495,4.41,0.213,25.09,-4.18,110.13,-6.0,26,34.7,ETH-USD,2021_default,quick
130,SMA,44,SMA,True,True,4.0,1.25,True,9.0,2021-04-14,2026-04-03,82,1552.14,360.86,16521.39,54.88,6.576,False,26.83,2.544,7.41,0.192,45.48,-6.56,253.83,-9.0,32,39.0,ETH-USD,2021_default,quick
160,SMA,44,SMA,True,True,4.0,1.25,True,9.0,2021-04-14,2026-04-03,72,1586.19,372.34,16861.87,56.94,6.54,False,30.56,2.765,7.9,0.202,40.5,-6.45,253.83,-9.0,27,37.5,ETH-USD,2021_default,quick
160,SMA,44,SMA,True,True,3.0,1.0,True,12.0,2021-04-14,2026-04-03,71,1181.63,277.37,12816.34,42.56,6.516,False,33.8,2.533,6.43,0.211,31.45,-6.34,190.37,-12.0,13,18.3,ETH-USD,2021_default,quick
160,SMA,30,SMA,True,True,4.0,1.25,True,9.0,2021-04-14,2026-04-03,81,1710.17,401.44,18101.72,62.58,6.415,False,25.93,2.706,7.94,0.184,48.56,-6.28,314.4,-9.0,32,39.5,ETH-USD,2021_default,quick
160,SMA,30,SMA,True,True,2.0,1.0,True,4.0,2021-04-14,2026-04-03,81,925.58,217.27,10255.82,34.65,6.27,False,24.69,2.85,4.47,0.199,27.89,-3.21,157.2,-4.0,40,49.4,ETH-USD,2021_default,quick
160,SMA,44,SMA,True,True,3.0,2.0,True,4.0,2021-04-14,2026-04-03,73,952.39,223.56,10523.92,36.18,6.18,False,21.92,2.727,5.15,0.218,37.13,-3.82,109.45,-4.0,52,71.2,ETH-USD,2021_default,quick
160,SMA,60,SMA,True,True,2.0,1.25,True,12.0,2021-04-14,2026-04-03,65,1032.85,242.92,11328.47,39.8,6.104,False,33.85,2.665,5.62,0.245,26.58,-5.1,126.9,-12.0,8,12.3,ETH-USD,2021_default,quick
130,SMA,44,SMA,True,True,4.0,2.0,True,4.0,2021-04-14,2026-04-03,84,1262.82,293.6,13628.19,48.96,5.996,False,17.86,2.774,5.63,0.2,49.29,-3.86,132.44,-4.0,64,76.2,ETH-USD,2021_default,quick
130,SMA,44,SMA,True,True,4.0,2.0,True,6.0,2021-04-14,2026-04-03,83,1110.23,258.12,12102.35,43.5,5.934,False,22.89,2.389,5.77,0.198,43.34,-5.38,132.44,-6.0,51,61.4,ETH-USD,2021_default,quick
160,SMA,30,SMA,True,True,3.0,2.0,True,9.0,2021-04-14,2026-04-03,81,1578.57,370.55,16785.71,62.65,5.914,False,25.93,2.464,7.25,0.198,47.05,-6.68,235.8,-9.0,36,44.4,ETH-USD,2021_default,quick
130,SMA,60,SMA,True,True,2.0,2.0,True,9.0,2021-04-14,2026-04-03,75,1187.42,276.6,12874.22,47.28,5.85,False,30.67,2.397,5.49,0.228,30.71,-5.67,126.9,-9.0,20,26.7,ETH-USD,2021_default,quick
130,SMA,44,SMA,True,True,2.0,2.0,True,9.0,2021-04-14,2026-04-03,82,1226.11,285.06,13261.06,48.92,5.827,False,28.05,2.266,5.56,0.211,35.48,-6.1,126.91,-9.0,25,30.5,ETH-USD,2021_default,quick
160,SMA,30,SMA,True,True,3.0,2.0,True,4.0,2021-04-14,2026-04-03,82,962.65,225.97,10626.49,39.06,5.786,False,19.51,2.586,4.81,0.201,40.2,-3.77,127.45,-4.0,61,74.4,ETH-USD,2021_default,quick
130,SMA,60,SMA,True,True,4.0,1.25,True,6.0,2021-04-14,2026-04-03,75,965.77,224.97,10657.66,39.17,5.744,False,26.67,2.578,5.4,0.204,33.11,-4.67,146.84,-6.0,35,46.7,ETH-USD,2021_default,quick
160,SMA,60,SMA,True,True,2.0,2.0,False,2.0,2021-04-14,2026-04-03,65,1166.89,274.44,12668.91,47.87,5.733,False,33.85,2.438,6.59,0.244,33.0,-6.92,126.9,-29.84,0,0.0,ETH-USD,2021_default,quick
160,SMA,60,SMA,True,True,3.0,2.0,False,2.0,2021-04-14,2026-04-03,65,1312.2,308.62,14121.98,54.0,5.715,False,33.85,2.443,8.19,0.231,40.95,-8.58,190.35,-44.76,0,0.0,ETH-USD,2021_default,quick
