min_calmar,mean_calmar,n_positive,n_periods,slow_ma_len,slow_ma_type,fast_ma_len,fast_ma_type,allow_longs,allow_shorts,use_fast_ma,leverage_long,leverage_short,sl_enable,sl_risk_pct,signal_tf,calmar_2021_default,ann_2021_default,maxdd_2021_default,trades_2021_default,calmar_bull_2020_2021,ann_bull_2020_2021,maxdd_bull_2020_2021,trades_bull_2020_2021,calmar_bear_2022,ann_bear_2022,maxdd_bear_2022,trades_bear_2022,calmar_recovery_2023_2025,ann_recovery_2023_2025,maxdd_recovery_2023_2025,trades_recovery_2023_2025,calmar_last_2y,ann_last_2y,maxdd_last_2y,trades_last_2y
-0.314,8.9958,4,5,100,SMA,30,SMA,True,True,True,4.0,1.25,True,12.0,D,1.053,83.17,78.95,134,41.863,2620.69,62.6,28,1.197,33.07,27.62,17,1.18,93.2,78.95,87,-0.314,-20.4,64.91,60
-0.317,6.1002,4,5,100,SMA,30,SMA,True,True,True,3.0,2.0,True,6.0,D,2.733,183.11,67.0,135,17.054,1022.65,59.97,29,8.658,167.03,19.29,17,2.373,158.96,67.0,87,-0.317,-18.3,57.73,60
-0.34,10.490599999999999,4,5,100,SMA,30,SMA,True,True,True,4.0,2.0,True,12.0,D,1.21,99.65,82.35,134,48.071,2817.23,58.61,28,2.757,84.33,30.59,17,0.755,62.17,82.35,87,-0.34,-24.0,70.57,60
-0.347,4.686,4,5,100,SMA,30,SMA,True,True,True,2.0,2.0,True,6.0,D,1.43,86.57,60.52,134,12.661,605.89,47.86,28,8.683,167.53,19.29,17,1.003,60.68,60.52,87,-0.347,-17.14,49.43,60
-0.364,5.873,4,5,100,SMA,30,SMA,True,True,True,4.0,2.0,False,2.0,D,0.067,5.81,86.89,134,28.719,2211.27,77.0,28,0.684,33.81,49.41,17,0.259,22.53,86.89,87,-0.364,-28.22,77.6,60
-0.373,9.542,4,5,100,SMA,30,SMA,True,True,True,4.0,2.0,True,6.0,D,5.339,358.32,67.11,135,30.12,1932.1,64.15,29,8.632,166.53,19.29,17,3.992,267.91,67.11,87,-0.373,-24.74,66.39,60
-0.402,2.3548,4,5,130,SMA,60,SMA,True,True,True,2.0,2.0,True,12.0,D,1.816,101.69,56.0,68,-0.402,-12.11,30.16,5,8.619,128.25,14.88,6,1.144,64.08,56.0,50,0.597,26.22,43.89,32
-2.519,2.9432,4,5,130,SMA,30,SMA,True,True,True,2.0,1.0,True,4.0,D,2.953,114.3,38.71,107,-2.519,-50.94,20.22,8,10.026,91.71,9.15,14,3.222,124.74,38.71,74,1.034,29.73,28.76,47
-2.519,3.9298,4,5,130,SMA,44,SMA,True,True,True,2.0,1.0,True,4.0,D,5.615,185.52,33.04,81,-2.519,-45.04,17.88,6,5.373,62.87,11.7,10,9.196,256.02,27.84,57,1.984,50.11,25.25,39
-2.519,4.2378,4,5,130,SMA,60,SMA,True,True,True,2.0,1.0,True,4.0,D,4.775,177.7,37.21,68,-2.519,-46.51,18.46,5,10.366,71.82,6.93,6,6.162,229.32,37.21,50,2.405,62.72,26.08,32
-2.519,3.8034,4,5,130,SMA,30,SMA,True,True,True,2.0,1.25,True,4.0,D,3.708,144.85,39.06,107,-2.519,-48.03,19.07,8,13.596,128.8,9.47,14,3.169,123.76,39.06,74,1.063,32.59,30.65,47
-2.519,4.5116,4,5,130,SMA,44,SMA,True,True,True,2.0,1.25,True,4.0,D,6.578,217.37,33.04,81,-2.519,-45.04,17.88,6,7.388,86.77,11.75,10,8.957,253.02,28.25,57,2.154,56.48,26.22,39
-2.519,5.237799999999999,4,5,130,SMA,60,SMA,True,True,True,2.0,1.25,True,4.0,D,5.582,211.11,37.82,68,-2.519,-46.51,18.46,5,14.483,97.04,6.7,6,6.019,227.65,37.82,50,2.624,70.31,26.79,32
-2.519,5.99,4,5,130,SMA,30,SMA,True,True,True,2.0,2.0,True,4.0,D,3.845,148.87,38.72,108,-2.519,-70.18,27.86,8,25.172,263.02,10.45,14,2.985,115.6,38.72,75,0.467,16.02,34.3,47
-2.519,5.5866,4,5,130,SMA,44,SMA,True,True,True,2.0,2.0,True,4.0,D,6.942,229.37,33.04,81,-2.519,-45.04,17.88,6,14.033,166.66,11.88,10,8.33,256.12,30.75,57,1.147,35.27,30.75,39
-2.519,8.684999999999999,4,5,130,SMA,60,SMA,True,True,True,2.0,2.0,True,4.0,D,7.012,267.92,38.21,68,-2.519,-46.51,18.46,5,30.127,181.24,6.02,6,6.539,249.84,38.21,50,2.266,61.73,27.25,32
-2.519,2.5119999999999996,4,5,130,SMA,30,SMA,True,True,True,3.0,1.0,True,6.0,D,2.931,145.7,49.71,107,-2.519,-69.53,27.6,8,7.17,78.35,10.93,14,4.169,207.25,49.71,74,0.809,30.05,37.16,47
-2.519,5.9376,4,5,130,SMA,44,SMA,True,True,True,3.0,1.0,True,6.0,D,11.325,403.04,35.59,81,-2.519,-55.41,22.0,6,3.727,53.27,14.29,10,15.288,544.08,35.59,57,1.867,63.71,34.12,39
-2.519,4.4606,4,5,130,SMA,60,SMA,True,True,True,3.0,1.0,True,6.0,D,7.173,341.49,47.61,68,-2.519,-57.49,22.82,5,5.518,59.41,10.77,6,9.702,461.89,47.61,50,2.429,79.89,32.89,32
-2.519,2.5542,4,5,130,SMA,30,SMA,True,True,True,3.0,1.25,True,6.0,D,2.908,151.48,52.09,107,-2.519,-67.43,26.77,8,8.165,107.82,13.21,14,3.471,180.83,52.09,74,0.746,29.39,39.37,47
-2.519,4.9744,4,5,130,SMA,44,SMA,True,True,True,3.0,1.25,True,6.0,D,7.864,337.54,42.92,81,-2.519,-55.99,22.23,6,4.981,74.49,14.95,10,12.726,491.75,38.64,57,1.82,63.49,34.89,39
-2.519,4.5012,4,5,130,SMA,60,SMA,True,True,True,3.0,1.25,True,6.0,D,6.199,310.43,50.08,68,-2.519,-58.06,23.05,5,7.878,83.09,10.55,6,8.678,434.58,50.08,50,2.27,81.85,36.06,32
-2.519,4.141,4,5,130,SMA,30,SMA,True,True,True,3.0,2.0,True,6.0,D,3.191,168.47,52.8,107,-2.519,-68.41,27.16,8,16.587,234.56,14.14,14,3.348,176.74,52.8,74,0.098,4.36,44.63,47
-2.519,5.048,4,5,130,SMA,44,SMA,True,True,True,3.0,2.0,True,6.0,D,6.577,299.68,45.56,81,-2.519,-65.05,25.83,6,8.258,142.62,17.27,10,11.983,473.81,39.54,57,0.941,34.85,37.04,39
-2.519,6.018,4,5,130,SMA,60,SMA,True,True,True,3.0,2.0,True,6.0,D,6.352,326.43,51.39,68,-2.519,-67.03,26.61,5,16.392,162.14,9.89,6,8.257,424.3,51.39,50,1.608,60.7,37.74,32
-2.536,3.1502,4,5,130,SMA,30,SMA,True,True,True,4.0,1.0,True,6.0,D,4.427,240.46,54.31,107,-2.536,-70.02,27.6,8,7.17,78.35,10.93,14,6.346,344.67,54.31,74,0.344,18.66,54.31,47
-2.536,7.350999999999999,4,5,130,SMA,44,SMA,True,True,True,4.0,1.0,True,6.0,D,14.632,622.62,42.55,81,-2.536,-55.1,21.72,6,3.727,53.27,14.29,10,19.754,840.58,42.55,57,1.178,50.14,42.55,39
-2.536,6.587400000000001,4,5,130,SMA,60,SMA,True,True,True,4.0,1.0,True,6.0,D,11.819,570.63,48.28,68,-2.536,-57.89,22.82,5,5.518,59.41,10.77,6,16.065,775.66,48.28,50,2.071,69.93,33.76,32
-2.536,3.1672,4,5,130,SMA,30,SMA,True,True,True,4.0,1.25,True,6.0,D,4.462,249.53,55.92,107,-2.536,-67.89,26.77,8,8.165,107.82,13.21,14,5.422,303.18,55.92,74,0.323,18.08,55.92,47
-2.536,6.664,4,5,130,SMA,44,SMA,True,True,True,4.0,1.25,True,6.0,D,12.104,523.16,43.22,81,-2.536,-55.68,21.95,6,4.981,74.49,14.95,10,17.616,761.39,43.22,57,1.155,49.94,43.22,39
-2.536,6.390000000000001,4,5,130,SMA,60,SMA,True,True,True,4.0,1.25,True,6.0,D,10.25,519.91,50.72,68,-2.536,-58.46,23.05,5,7.878,83.09,10.55,6,14.413,731.06,50.72,50,1.945,71.75,36.89,32
-2.536,6.562599999999999,4,5,130,SMA,44,SMA,True,True,True,4.0,2.0,True,6.0,D,10.264,465.67,45.37,81,-2.536,-64.84,25.56,6,8.258,142.62,17.27,10,16.283,734.25,45.09,57,0.544,24.55,45.09,39
