slow_ma_len,slow_ma_type,fast_ma_len,fast_ma_type,allow_longs,allow_shorts,use_fast_ma,leverage_long,leverage_short,sl_enable,sl_risk_pct,signal_tf,period_start,period_end,trades,pl_pct,ann_return,end_capital,max_dd,calmar,liq_risk,win_rate,profit_factor,expectancy,sharpe_trade,avg_win,avg_loss,max_win,max_loss,sl_hits,sl_hit_rate,ticker,period_name,mode
160,SMA,44,SMA,True,True,True,4.0,1.0,True,4.0,W,2021-04-14,2026-04-02,5,68.83,22.45,1688.34,7.84,2.863,False,40.0,6.78,13.87,0.449,40.68,-4.0,67.29,-4.0,3,60.0,VOO,2021_default,equity_quick
100,SMA,60,SMA,True,True,True,2.0,1.0,True,8.0,W,2021-04-14,2026-04-02,5,97.97,22.81,1979.71,8.0,2.851,False,60.0,6.456,17.46,0.59,34.43,-8.0,60.28,-8.0,2,40.0,VOO,2021_default,equity_quick
100,SMA,20,SMA,True,True,True,3.0,1.0,False,2.0,W,2021-04-14,2026-04-02,5,147.46,34.33,2474.56,12.11,2.835,False,80.0,11.481,25.38,0.56,34.75,-12.11,101.61,-12.11,0,0.0,VOO,2021_default,equity_quick
160,SMA,20,SMA,True,True,True,4.0,1.0,True,4.0,W,2021-04-14,2026-04-02,7,121.15,30.52,2211.54,10.86,2.81,False,28.57,8.198,19.82,0.343,79.02,-3.86,150.63,-4.0,4,57.1,VOO,2021_default,equity_quick
100,SMA,60,SMA,True,True,True,3.0,1.0,True,12.0,W,2021-04-14,2026-04-02,5,142.85,33.25,2428.51,12.0,2.771,False,60.0,6.281,25.35,0.566,50.25,-12.0,90.42,-12.0,2,40.0,VOO,2021_default,equity_quick
130,EMA,20,SMA,True,True,True,3.0,1.0,False,2.0,W,2021-04-14,2026-04-02,6,125.83,31.7,2258.3,12.11,2.618,False,66.67,7.281,18.69,0.497,32.5,-8.93,89.51,-12.11,0,0.0,VOO,2021_default,equity_quick
160,SMA,20,SMA,True,False,True,2.0,1.0,True,4.0,W,2021-04-14,2026-04-02,5,56.98,14.35,1569.78,5.57,2.575,False,20.0,6.934,12.89,0.369,75.32,-2.72,75.32,-4.0,2,40.0,VOO,2021_default,equity_quick
100,EMA,20,SMA,True,True,True,3.0,1.0,False,2.0,W,2021-04-14,2026-04-02,5,132.6,30.87,2326.03,12.11,2.549,False,80.0,10.482,22.96,0.57,31.73,-12.11,89.51,-12.11,0,0.0,VOO,2021_default,equity_quick
100,SMA,20,SMA,True,True,True,3.0,1.0,True,8.0,W,2021-04-14,2026-04-02,7,112.29,26.14,2122.93,10.26,2.547,False,42.86,5.229,15.99,0.397,46.12,-6.61,101.61,-8.0,3,42.9,VOO,2021_default,equity_quick
100,SMA,20,SMA,True,True,True,2.0,1.0,True,8.0,W,2021-04-14,2026-04-02,6,86.02,20.03,1860.22,8.0,2.503,False,66.67,6.05,13.47,0.471,24.2,-8.0,67.74,-8.0,2,33.3,VOO,2021_default,equity_quick
160,SMA,20,SMA,True,False,True,4.0,1.0,True,4.0,W,2021-04-14,2026-04-02,6,105.89,26.67,2058.94,10.86,2.456,False,16.67,7.813,21.89,0.347,150.63,-3.86,150.63,-4.0,4,66.7,VOO,2021_default,equity_quick
100,SMA,20,SMA,True,True,True,3.0,1.0,True,12.0,W,2021-04-14,2026-04-02,6,124.59,29.0,2245.94,12.0,2.417,False,66.67,5.922,19.69,0.457,35.53,-12.0,101.61,-12.0,2,33.3,VOO,2021_default,equity_quick
160,SMA,20,SMA,True,False,True,4.0,1.0,True,8.0,W,2021-04-14,2026-04-02,5,100.16,25.23,2001.6,11.02,2.29,False,20.0,6.934,25.78,0.369,150.63,-5.43,150.63,-8.0,2,40.0,VOO,2021_default,equity_quick
130,EMA,44,SMA,True,True,False,3.0,1.0,False,2.0,W,2021-04-14,2026-04-02,5,131.24,31.5,2312.41,13.88,2.268,False,60.0,6.992,23.53,0.553,45.76,-9.82,89.51,-13.88,0,0.0,VOO,2021_default,equity_quick
100,SMA,20,SMA,True,True,True,3.0,1.0,True,15.0,W,2021-04-14,2026-04-02,5,139.31,32.43,2393.15,15.0,2.162,False,80.0,9.268,24.8,0.54,34.75,-15.0,101.61,-15.0,1,20.0,VOO,2021_default,equity_quick
130,EMA,44,SMA,True,True,True,3.0,1.0,False,2.0,W,2021-04-14,2026-04-02,5,130.55,34.4,2305.51,15.96,2.156,False,60.0,6.465,23.73,0.547,46.78,-10.85,89.51,-15.96,0,0.0,VOO,2021_default,equity_quick
100,SMA,20,SMA,True,True,True,4.0,1.0,True,12.0,W,2021-04-14,2026-04-02,7,131.97,30.72,2319.7,14.89,2.064,False,42.86,4.644,20.45,0.378,60.8,-9.82,135.48,-12.0,3,42.9,VOO,2021_default,equity_quick
200,EMA,20,SMA,True,True,True,3.0,1.0,True,15.0,W,2021-04-14,2026-04-02,6,125.57,32.25,2255.72,15.97,2.019,False,66.67,9.226,22.13,0.395,37.24,-8.07,135.6,-15.0,1,16.7,VOO,2021_default,equity_quick
160,EMA,20,SMA,True,True,True,4.0,1.0,True,4.0,W,2021-04-14,2026-04-02,6,65.03,15.76,1650.31,7.84,2.01,False,33.33,5.573,12.2,0.349,44.59,-4.0,82.99,-4.0,4,66.7,VOO,2021_default,equity_quick
160,SMA,20,SMA,True,False,True,3.0,1.0,True,4.0,W,2021-04-14,2026-04-02,6,76.44,19.26,1764.4,10.11,1.905,False,16.67,6.12,15.75,0.331,112.97,-3.69,112.97,-4.0,4,66.7,VOO,2021_default,equity_quick
160,SMA,20,SMA,True,False,True,3.0,1.0,True,8.0,W,2021-04-14,2026-04-02,5,72.6,18.29,1726.02,10.26,1.782,False,20.0,5.567,18.54,0.351,112.97,-5.07,112.97,-8.0,2,40.0,VOO,2021_default,equity_quick
200,EMA,20,SMA,True,False,True,4.0,1.0,True,4.0,W,2021-04-14,2026-04-02,7,55.76,19.25,1557.56,10.86,1.772,False,28.57,4.405,9.38,0.303,42.47,-3.86,79.02,-4.0,4,57.1,VOO,2021_default,equity_quick
100,EMA,60,SMA,True,True,True,3.0,1.0,True,15.0,W,2021-04-14,2026-04-02,5,112.57,26.2,2125.65,15.0,1.747,False,60.0,4.763,22.58,0.495,47.63,-15.0,87.9,-15.0,2,40.0,VOO,2021_default,equity_quick
160,EMA,20,SMA,True,True,True,4.0,1.0,False,2.0,W,2021-04-14,2026-04-02,5,129.74,31.13,2297.38,18.21,1.71,False,40.0,7.216,33.2,0.386,96.35,-8.9,186.51,-12.34,0,0.0,VOO,2021_default,equity_quick
100,SMA,20,SMA,True,True,True,2.0,1.0,False,2.0,W,2021-04-14,2026-04-02,5,87.52,20.37,1875.22,12.11,1.683,False,80.0,7.739,16.32,0.527,23.43,-12.11,67.74,-12.11,0,0.0,VOO,2021_default,equity_quick
