best_pl_long_short,delta_pl,same_params_long_only_pl,window_end,window_start
6576.26,5047.5,1528.76,2021-04-01,2020-04-01
380.84,352.29,28.55,2022-04-01,2021-04-01
1417.52,1412.74,4.78,2023-04-01,2022-04-01
1424.83,512.72,912.11,2024-04-01,2023-04-01
181.99,-20.93,202.92,2025-04-01,2024-04-01
356.66,267.78,88.88,2026-04-01,2025-04-01
