allow_longs,allow_shorts,anchor_year,ann_return,atr_entry_enable,atr_entry_len,atr_long_mult,atr_short_mult,atr_sl_enable,atr_sl_len,atr_sl_mult,avg_loss,avg_win,calmar,end_capital,expectancy,fast_ma_len,fast_ma_type,leverage_long,leverage_short,liq_risk,max_dd,max_loss,max_win,period_end,period_start,pl_pct,profit_factor,sharpe_trade,signal_tf,sl_enable,sl_hit_rate,sl_hits,sl_risk_pct,slow_ma_len,slow_ma_type,stage,trades,trail_activate_pct,trail_atr_factor,trail_atr_len,trail_sl_enable,use_fast_ma,win_rate,window_end,window_start
True,True,2021,9167.86,False,14,1.7,1.5,False,14,2.5,-3.23,118.83,511.402,66762.61,47.03,30,SMA,4.5,0.25,False,17.93,-8.5,290.71,2021-04-01,2020-04-01,6576.26,25.732,0.482,D,True,17.6,3,8.5,80,SMA,fine,17,5.0,2.0,14,False,True,41.18,2021-04-01,2020-04-01
True,True,2022,381.9,False,14,1.7,1.5,False,14,2.5,-10.0,43.8,11.105,4513.19,15.11,44,SMA,4.0,2.5,False,34.39,-10.0,99.96,2022-04-01,2021-04-01,351.32,3.833,0.413,D,True,53.3,8,10.0,110,SMA,fine,15,5.0,2.0,14,False,True,46.67,2022-04-01,2021-04-01
True,True,2023,1287.25,False,14,1.7,1.5,False,14,2.5,-4.5,88.28,108.591,13511.23,37.67,55,SMA,4.5,2.5,False,11.85,-4.5,175.71,2023-04-01,2022-04-01,1251.12,16.347,0.585,D,True,54.5,6,4.5,100,SMA,fine,11,5.0,2.0,14,False,True,45.45,2023-04-01,2022-04-01
True,True,2024,1704.86,False,14,1.7,1.5,False,14,2.5,-3.1,132.76,118.718,14629.54,57.28,70,SMA,4.5,0.25,False,14.36,-7.96,300.33,2024-04-01,2023-04-01,1362.95,34.307,0.527,D,True,0.0,0,12.0,160,SMA,fine,9,5.0,2.0,14,False,True,44.44,2024-04-01,2023-04-01
True,True,2025,168.13,False,14,1.7,1.5,False,14,2.5,-2.47,37.28,5.765,2666.32,6.7,20,SMA,4.25,0.25,False,29.16,-3.5,166.74,2025-04-01,2024-04-01,166.63,4.532,0.199,D,True,50.0,13,3.5,120,SMA,fine,26,5.0,2.0,14,False,True,23.08,2025-04-01,2024-04-01
True,True,2026,213.92,False,14,1.7,1.5,False,14,2.5,-6.56,32.2,6.151,3014.7,10.05,60,SMA,4.5,2.5,False,34.78,-9.5,47.29,2026-04-01,2025-04-01,201.47,3.679,0.465,D,True,21.4,3,9.5,130,SMA,fine,14,5.0,2.0,14,False,True,42.86,2026-04-01,2025-04-01
