best_pl_long_short,delta_pl,same_params_long_only_pl,window_end,window_start
6576.26,5047.5,1528.76,2021-04-01,2020-04-01
351.32,318.06,33.26,2022-04-01,2021-04-01
1251.12,1259.92,-8.8,2023-04-01,2022-04-01
1362.95,1068.58,294.37,2024-04-01,2023-04-01
166.63,38.51,128.12,2025-04-01,2024-04-01
201.47,218.56,-17.09,2026-04-01,2025-04-01
