slow_ma_len,slow_ma_type,fast_ma_len,fast_ma_type,allow_longs,allow_shorts,use_fast_ma,leverage_long,leverage_short,sl_enable,sl_risk_pct,atr_sl_enable,atr_sl_len,atr_sl_mult,signal_tf,period_start,period_end,trades,pl_pct,ann_return,end_capital,max_dd,calmar,liq_risk,win_rate,profit_factor,expectancy,sharpe_trade,avg_win,avg_loss,max_win,max_loss,sl_hits,sl_hit_rate,ticker,period_name,mode
100,SMA,44,SMA,True,True,True,3.0,1.0,True,6.0,False,14,2.5,D,2021-04-14,2026-04-03,108,3710.71,751.3,38107.09,53.79,13.967,False,22.22,3.049,6.33,0.196,42.39,-3.97,167.89,-6.0,39,36.1,BTC-USD,2021_default,btc_quick
100,SMA,60,SMA,True,True,True,4.0,2.0,True,6.0,False,14,2.5,D,2021-04-14,2026-04-03,94,4132.48,836.69,42324.77,63.97,13.08,False,19.15,3.004,8.75,0.206,68.47,-5.4,208.81,-6.0,59,62.8,BTC-USD,2021_default,btc_quick
100,SMA,60,SMA,True,True,True,4.0,1.0,True,4.0,False,14,2.5,D,2021-04-14,2026-04-03,94,3106.44,628.95,32064.44,49.23,12.776,False,19.15,3.557,7.26,0.195,52.75,-3.51,208.81,-4.0,60,63.8,BTC-USD,2021_default,btc_quick
100,SMA,44,SMA,True,True,True,4.0,1.25,True,4.0,False,14,2.5,D,2021-04-14,2026-04-03,108,3358.23,679.93,34582.32,54.12,12.564,False,16.67,3.406,6.85,0.18,58.17,-3.42,223.85,-4.0,67,62.0,BTC-USD,2021_default,btc_quick
130,SMA,60,SMA,True,True,True,4.0,2.0,True,4.0,False,14,2.5,D,2021-04-14,2026-04-03,68,2404.32,491.43,25043.21,39.69,12.38,False,19.12,3.807,8.58,0.224,60.9,-3.78,208.81,-4.0,49,72.1,BTC-USD,2021_default,btc_quick
130,SMA,44,SMA,True,True,True,4.0,1.25,True,6.0,False,14,2.5,D,2021-04-14,2026-04-03,81,2559.56,523.16,26595.57,43.22,12.104,False,20.99,3.415,8.45,0.199,56.95,-4.43,223.85,-6.0,38,46.9,BTC-USD,2021_default,btc_quick
100,SMA,44,SMA,True,True,True,4.0,2.0,True,4.0,False,14,2.5,D,2021-04-14,2026-04-03,108,3562.91,721.37,36629.09,60.35,11.952,False,15.74,3.231,7.12,0.183,65.53,-3.79,223.85,-4.0,82,75.9,BTC-USD,2021_default,btc_quick
100,SMA,44,SMA,True,True,True,4.0,1.0,True,9.0,False,14,2.5,D,2021-04-14,2026-04-03,108,3839.77,777.43,39397.73,65.29,11.907,False,22.22,2.94,7.94,0.186,54.12,-5.26,223.85,-9.0,31,28.7,BTC-USD,2021_default,btc_quick
130,SMA,60,SMA,True,True,True,4.0,1.0,True,6.0,False,14,2.5,D,2021-04-14,2026-04-03,68,2791.84,570.63,28918.43,48.28,11.819,False,23.53,3.602,9.59,0.225,56.4,-4.82,208.81,-6.0,33,48.5,BTC-USD,2021_default,btc_quick
100,SMA,44,SMA,True,True,True,4.0,1.25,True,9.0,False,14,2.5,D,2021-04-14,2026-04-03,108,3924.12,794.5,40241.22,67.53,11.765,False,22.22,2.844,8.06,0.187,55.92,-5.62,223.85,-9.0,37,34.3,BTC-USD,2021_default,btc_quick
130,SMA,44,SMA,True,True,True,3.0,1.0,True,6.0,False,14,2.5,D,2021-04-14,2026-04-03,81,1971.88,403.04,20718.79,35.59,11.325,False,24.69,3.289,6.65,0.207,38.68,-3.86,167.89,-6.0,27,33.3,BTC-USD,2021_default,btc_quick
160,SMA,44,SMA,True,True,True,4.0,1.0,True,9.0,False,14,2.5,D,2021-04-14,2026-04-03,92,3155.27,646.72,32552.68,58.99,10.963,False,22.83,3.088,8.26,0.195,53.55,-5.13,223.85,-9.0,24,26.1,BTC-USD,2021_default,btc_quick
130,SMA,60,SMA,True,True,True,4.0,1.25,True,12.0,False,14,2.5,D,2021-04-14,2026-04-03,68,3589.92,733.75,36899.24,66.95,10.959,False,27.94,3.056,10.57,0.24,56.25,-7.14,208.81,-12.0,17,25.0,BTC-USD,2021_default,btc_quick
130,SMA,60,SMA,True,True,True,4.0,2.0,True,9.0,False,14,2.5,D,2021-04-14,2026-04-03,68,3453.63,705.9,35536.33,64.96,10.867,False,25.0,2.961,10.78,0.239,65.09,-7.33,208.81,-9.0,34,50.0,BTC-USD,2021_default,btc_quick
100,SMA,44,SMA,True,True,True,4.0,1.0,True,4.0,False,14,2.5,D,2021-04-14,2026-04-03,108,2848.67,576.76,29486.74,53.37,10.806,False,16.67,3.423,6.63,0.176,56.19,-3.28,223.85,-4.0,65,60.2,BTC-USD,2021_default,btc_quick
130,SMA,60,SMA,True,True,True,4.0,2.0,True,6.0,False,14,2.5,D,2021-04-14,2026-04-03,68,2671.55,546.05,27715.48,52.02,10.498,False,20.59,3.283,9.92,0.226,69.32,-5.47,208.81,-6.0,46,67.6,BTC-USD,2021_default,btc_quick
130,SMA,60,SMA,True,True,True,4.0,1.0,True,12.0,False,14,2.5,D,2021-04-14,2026-04-03,68,3313.75,677.31,34137.52,65.86,10.284,False,27.94,3.127,10.33,0.236,54.34,-6.74,208.81,-12.0,17,25.0,BTC-USD,2021_default,btc_quick
130,SMA,44,SMA,True,True,True,4.0,2.0,True,6.0,False,14,2.5,D,2021-04-14,2026-04-03,81,2278.29,465.67,23782.94,45.37,10.264,False,19.75,3.183,8.57,0.197,63.23,-4.89,223.85,-6.0,47,58.0,BTC-USD,2021_default,btc_quick
130,SMA,60,SMA,True,True,True,4.0,1.25,True,6.0,False,14,2.5,D,2021-04-14,2026-04-03,68,2543.68,519.91,26436.76,50.72,10.25,False,22.06,3.408,9.55,0.223,61.26,-5.09,208.81,-6.0,39,57.4,BTC-USD,2021_default,btc_quick
160,SMA,44,SMA,True,True,True,4.0,1.25,True,9.0,False,14,2.5,D,2021-04-14,2026-04-03,92,3067.81,628.8,31678.15,61.76,10.182,False,22.83,2.958,8.33,0.195,55.14,-5.51,223.85,-9.0,28,30.4,BTC-USD,2021_default,btc_quick
160,SMA,44,SMA,True,True,True,3.0,1.0,True,6.0,False,14,2.5,D,2021-04-14,2026-04-03,92,2471.55,506.59,25715.53,49.93,10.145,False,22.83,3.094,6.45,0.202,41.76,-3.99,167.89,-6.0,31,33.7,BTC-USD,2021_default,btc_quick
130,SMA,60,SMA,True,True,True,4.0,1.25,True,4.0,False,14,2.5,D,2021-04-14,2026-04-03,68,1911.0,390.6,20110.04,39.32,9.935,False,20.59,3.73,7.97,0.215,52.87,-3.67,208.81,-4.0,46,67.6,BTC-USD,2021_default,btc_quick
100,SMA,44,SMA,True,True,True,4.0,1.0,True,12.0,False,14,2.5,D,2021-04-14,2026-04-03,107,3123.97,632.5,32239.73,64.71,9.774,False,23.36,2.783,7.89,0.183,52.73,-5.78,223.85,-12.0,22,20.6,BTC-USD,2021_default,btc_quick
100,SMA,44,SMA,True,True,True,4.0,2.0,True,12.0,False,14,2.5,D,2021-04-14,2026-04-03,107,3467.99,702.15,35679.85,72.77,9.649,False,23.36,2.556,8.49,0.19,59.65,-7.11,223.85,-12.0,30,28.0,BTC-USD,2021_default,btc_quick
130,SMA,44,SMA,True,True,True,2.0,1.0,True,9.0,False,14,2.5,D,2021-04-14,2026-04-03,81,1642.96,335.81,17429.6,34.86,9.634,False,29.63,3.098,5.32,0.232,26.53,-3.61,111.92,-9.0,8,9.9,BTC-USD,2021_default,btc_quick
100,SMA,44,SMA,True,True,True,4.0,1.25,True,12.0,False,14,2.5,D,2021-04-14,2026-04-03,107,3107.35,629.13,32073.46,67.54,9.315,False,23.36,2.69,7.99,0.184,54.46,-6.17,223.85,-12.0,23,21.5,BTC-USD,2021_default,btc_quick
100,SMA,44,SMA,True,True,True,2.0,2.0,True,4.0,False,14,2.5,D,2021-04-14,2026-04-03,108,1904.7,385.64,20047.0,42.08,9.165,False,20.37,2.651,4.66,0.196,36.75,-3.55,111.92,-4.0,68,63.0,BTC-USD,2021_default,btc_quick
100,SMA,44,SMA,True,True,True,3.0,2.0,True,6.0,False,14,2.5,D,2021-04-14,2026-04-03,108,2600.8,526.57,27007.96,57.73,9.121,False,20.37,2.65,6.28,0.187,49.54,-4.78,167.89,-6.0,54,50.0,BTC-USD,2021_default,btc_quick
100,SMA,60,SMA,True,True,True,3.0,1.25,True,6.0,False,14,2.5,D,2021-04-14,2026-04-03,94,2765.57,559.94,28655.75,62.78,8.919,False,22.34,2.782,6.66,0.208,46.52,-4.81,156.61,-6.0,47,50.0,BTC-USD,2021_default,btc_quick
130,SMA,60,SMA,True,True,True,4.0,1.0,True,4.0,False,14,2.5,D,2021-04-14,2026-04-03,68,1620.8,331.28,17208.02,38.72,8.555,False,20.59,3.694,7.65,0.208,50.92,-3.57,208.81,-4.0,43,63.2,BTC-USD,2021_default,btc_quick
130,SMA,44,SMA,True,True,True,2.0,1.25,True,12.0,False,14,2.5,D,2021-04-14,2026-04-03,81,1539.37,314.64,16393.65,36.87,8.535,False,29.63,2.829,5.39,0.228,28.12,-4.19,111.92,-12.0,6,7.4,BTC-USD,2021_default,btc_quick
130,SMA,44,SMA,True,True,True,2.0,1.25,True,9.0,False,14,2.5,D,2021-04-14,2026-04-03,81,1598.33,326.69,16983.26,38.31,8.528,False,28.4,2.866,5.42,0.23,29.3,-4.05,111.92,-9.0,12,14.8,BTC-USD,2021_default,btc_quick
130,SMA,44,SMA,True,True,True,3.0,2.0,True,9.0,False,14,2.5,D,2021-04-14,2026-04-03,81,1926.74,393.81,20267.42,46.24,8.516,False,24.69,2.688,7.34,0.209,47.33,-5.77,167.89,-9.0,28,34.6,BTC-USD,2021_default,btc_quick
100,SMA,44,SMA,True,True,True,2.0,1.25,True,4.0,False,14,2.5,D,2021-04-14,2026-04-03,108,1792.68,362.96,18926.8,43.42,8.36,False,21.3,2.771,4.39,0.197,32.24,-3.15,111.92,-4.0,53,49.1,BTC-USD,2021_default,btc_quick
100,SMA,44,SMA,True,True,True,3.0,1.0,True,9.0,False,14,2.5,D,2021-04-14,2026-04-03,107,2323.15,470.36,24231.49,57.42,8.192,False,23.36,2.665,6.03,0.185,41.28,-4.72,167.89,-9.0,23,21.5,BTC-USD,2021_default,btc_quick
130,SMA,60,SMA,True,True,True,3.0,1.0,True,9.0,False,14,2.5,D,2021-04-14,2026-04-03,68,2245.95,459.06,23459.46,56.27,8.158,False,27.94,3.034,7.99,0.241,42.66,-5.45,156.61,-9.0,17,25.0,BTC-USD,2021_default,btc_quick
130,SMA,44,SMA,True,True,True,2.0,1.0,True,12.0,False,14,2.5,D,2021-04-14,2026-04-03,81,1400.94,286.34,15009.42,35.11,8.155,False,29.63,2.91,5.16,0.224,26.53,-3.84,111.92,-12.0,6,7.4,BTC-USD,2021_default,btc_quick
100,SMA,60,SMA,True,True,True,3.0,2.0,True,4.0,False,14,2.5,D,2021-04-14,2026-04-03,94,1922.38,389.22,20223.76,48.44,8.035,False,18.09,2.849,5.87,0.197,49.99,-3.87,156.61,-4.0,71,75.5,BTC-USD,2021_default,btc_quick
130,SMA,44,SMA,True,True,True,2.0,1.0,True,6.0,False,14,2.5,D,2021-04-14,2026-04-03,81,1241.02,253.66,13410.21,31.61,8.025,False,25.93,2.938,4.95,0.218,28.94,-3.45,111.92,-6.0,22,27.2,BTC-USD,2021_default,btc_quick
