slow_ma_len,slow_ma_type,fast_ma_len,fast_ma_type,allow_longs,allow_shorts,use_fast_ma,leverage_long,leverage_short,sl_enable,sl_risk_pct,signal_tf,period_start,period_end,trades,pl_pct,ann_return,end_capital,max_dd,calmar,liq_risk,win_rate,profit_factor,expectancy,sharpe_trade,avg_win,avg_loss,max_win,max_loss,sl_hits,sl_hit_rate,ticker,period_name,mode
100,SMA,60,SMA,True,True,True,4.0,1.25,True,4.0,D,2021-04-14,2026-04-03,94,3683.41,745.77,37834.09,49.03,15.209,False,19.15,3.547,7.51,0.201,54.62,-3.65,208.81,-4.0,62,66.0,BTC-USD,2021_default,quick
130,SMA,44,SMA,True,True,True,3.0,1.25,True,12.0,D,2021-04-14,2026-04-03,81,3396.38,694.19,34963.75,45.93,15.113,False,29.63,3.176,7.75,0.229,38.2,-5.06,167.89,-12.0,11,13.6,BTC-USD,2021_default,quick
130,SMA,44,SMA,True,True,True,4.0,1.0,True,6.0,D,2021-04-14,2026-04-03,81,3046.17,622.62,31461.72,42.55,14.632,False,22.22,3.681,8.58,0.203,53.0,-4.11,223.85,-6.0,33,40.7,BTC-USD,2021_default,quick
130,SMA,44,SMA,True,True,True,4.0,2.0,True,12.0,D,2021-04-14,2026-04-03,81,3829.96,782.82,39299.57,54.25,14.429,False,25.93,2.938,9.9,0.218,57.87,-6.9,223.85,-12.0,22,27.2,BTC-USD,2021_default,quick
100,SMA,44,SMA,True,True,True,3.0,1.25,True,6.0,D,2021-04-14,2026-04-03,108,4021.41,814.2,41214.1,57.0,14.285,False,22.22,2.956,6.5,0.199,44.2,-4.27,167.89,-6.0,45,41.7,BTC-USD,2021_default,quick
130,SMA,44,SMA,True,True,True,3.0,1.0,True,12.0,D,2021-04-14,2026-04-03,81,3101.15,633.85,32011.51,44.43,14.266,False,29.63,3.268,7.53,0.225,36.6,-4.72,167.89,-12.0,11,13.6,BTC-USD,2021_default,quick
100,SMA,44,SMA,True,True,True,3.0,1.0,True,6.0,D,2021-04-14,2026-04-03,108,3710.71,751.3,38107.09,53.79,13.967,False,22.22,3.049,6.33,0.196,42.39,-3.97,167.89,-6.0,39,36.1,BTC-USD,2021_default,quick
130,SMA,44,SMA,True,True,True,3.0,2.0,False,2.0,D,2021-04-14,2026-04-03,81,3487.73,712.87,35877.34,51.32,13.89,False,30.86,2.872,8.32,0.232,41.38,-6.43,167.89,-26.05,0,0.0,BTC-USD,2021_default,quick
130,SMA,44,SMA,True,True,True,4.0,1.25,False,2.0,D,2021-04-14,2026-04-03,81,4013.34,820.3,41133.38,59.98,13.676,False,30.86,3.16,9.81,0.22,46.5,-6.57,223.85,-34.73,0,0.0,BTC-USD,2021_default,quick
100,SMA,60,SMA,True,True,True,4.0,2.0,True,6.0,D,2021-04-14,2026-04-03,94,4132.48,836.69,42324.77,63.97,13.08,False,19.15,3.004,8.75,0.206,68.47,-5.4,208.81,-6.0,59,62.8,BTC-USD,2021_default,quick
100,SMA,60,SMA,True,True,True,4.0,1.0,True,4.0,D,2021-04-14,2026-04-03,94,3106.44,628.95,32064.44,49.23,12.776,False,19.15,3.557,7.26,0.195,52.75,-3.51,208.81,-4.0,60,63.8,BTC-USD,2021_default,quick
130,SMA,44,SMA,True,True,True,4.0,1.0,False,2.0,D,2021-04-14,2026-04-03,81,3666.02,749.31,37660.18,59.6,12.572,False,30.86,3.23,9.58,0.216,44.97,-6.22,223.85,-34.73,0,0.0,BTC-USD,2021_default,quick
100,SMA,44,SMA,True,True,True,4.0,1.25,True,4.0,D,2021-04-14,2026-04-03,108,3358.23,679.93,34582.32,54.12,12.564,False,16.67,3.406,6.85,0.18,58.17,-3.42,223.85,-4.0,67,62.0,BTC-USD,2021_default,quick
130,SMA,60,SMA,True,True,True,4.0,2.0,True,4.0,D,2021-04-14,2026-04-03,68,2404.32,491.43,25043.21,39.69,12.38,False,19.12,3.807,8.58,0.224,60.9,-3.78,208.81,-4.0,49,72.1,BTC-USD,2021_default,quick
130,SMA,44,SMA,True,True,True,3.0,1.25,False,2.0,D,2021-04-14,2026-04-03,81,2910.59,594.9,30105.9,49.09,12.119,False,30.86,3.058,7.64,0.225,36.79,-5.37,167.89,-26.05,0,0.0,BTC-USD,2021_default,quick
130,SMA,44,SMA,True,True,True,4.0,1.25,True,6.0,D,2021-04-14,2026-04-03,81,2559.56,523.16,26595.57,43.22,12.104,False,20.99,3.415,8.45,0.199,56.95,-4.43,223.85,-6.0,38,46.9,BTC-USD,2021_default,quick
100,SMA,44,SMA,True,True,True,4.0,2.0,True,4.0,D,2021-04-14,2026-04-03,108,3562.91,721.37,36629.09,60.35,11.952,False,15.74,3.231,7.12,0.183,65.53,-3.79,223.85,-4.0,82,75.9,BTC-USD,2021_default,quick
100,SMA,44,SMA,True,True,True,4.0,1.0,True,9.0,D,2021-04-14,2026-04-03,108,3839.77,777.43,39397.73,65.29,11.907,False,22.22,2.94,7.94,0.186,54.12,-5.26,223.85,-9.0,31,28.7,BTC-USD,2021_default,quick
130,SMA,60,SMA,True,True,True,4.0,1.0,True,6.0,D,2021-04-14,2026-04-03,68,2791.84,570.63,28918.43,48.28,11.819,False,23.53,3.602,9.59,0.225,56.4,-4.82,208.81,-6.0,33,48.5,BTC-USD,2021_default,quick
100,SMA,44,SMA,True,True,True,4.0,1.25,True,9.0,D,2021-04-14,2026-04-03,108,3924.12,794.5,40241.22,67.53,11.765,False,22.22,2.844,8.06,0.187,55.92,-5.62,223.85,-9.0,37,34.3,BTC-USD,2021_default,quick
130,SMA,44,SMA,True,True,True,3.0,1.0,True,6.0,D,2021-04-14,2026-04-03,81,1971.88,403.04,20718.79,35.59,11.325,False,24.69,3.289,6.65,0.207,38.68,-3.86,167.89,-6.0,27,33.3,BTC-USD,2021_default,quick
130,SMA,44,SMA,True,True,True,3.0,1.0,False,2.0,D,2021-04-14,2026-04-03,81,2656.38,542.95,27563.83,48.6,11.171,False,30.86,3.138,7.41,0.221,35.26,-5.02,167.89,-26.05,0,0.0,BTC-USD,2021_default,quick
160,SMA,44,SMA,True,True,True,4.0,1.0,True,9.0,D,2021-04-14,2026-04-03,92,3155.27,646.72,32552.68,58.99,10.963,False,22.83,3.088,8.26,0.195,53.55,-5.13,223.85,-9.0,24,26.1,BTC-USD,2021_default,quick
130,SMA,60,SMA,True,True,True,4.0,1.25,True,12.0,D,2021-04-14,2026-04-03,68,3589.92,733.75,36899.24,66.95,10.959,False,27.94,3.056,10.57,0.24,56.25,-7.14,208.81,-12.0,17,25.0,BTC-USD,2021_default,quick
130,SMA,60,SMA,True,True,True,4.0,2.0,True,9.0,D,2021-04-14,2026-04-03,68,3453.63,705.9,35536.33,64.96,10.867,False,25.0,2.961,10.78,0.239,65.09,-7.33,208.81,-9.0,34,50.0,BTC-USD,2021_default,quick
100,SMA,44,SMA,True,True,True,4.0,1.0,True,4.0,D,2021-04-14,2026-04-03,108,2848.67,576.76,29486.74,53.37,10.806,False,16.67,3.423,6.63,0.176,56.19,-3.28,223.85,-4.0,65,60.2,BTC-USD,2021_default,quick
130,SMA,60,SMA,True,True,True,4.0,2.0,True,6.0,D,2021-04-14,2026-04-03,68,2671.55,546.05,27715.48,52.02,10.498,False,20.59,3.283,9.92,0.226,69.32,-5.47,208.81,-6.0,46,67.6,BTC-USD,2021_default,quick
130,SMA,60,SMA,True,True,True,4.0,1.0,True,12.0,D,2021-04-14,2026-04-03,68,3313.75,677.31,34137.52,65.86,10.284,False,27.94,3.127,10.33,0.236,54.34,-6.74,208.81,-12.0,17,25.0,BTC-USD,2021_default,quick
130,SMA,44,SMA,True,True,True,4.0,2.0,True,6.0,D,2021-04-14,2026-04-03,81,2278.29,465.67,23782.94,45.37,10.264,False,19.75,3.183,8.57,0.197,63.23,-4.89,223.85,-6.0,47,58.0,BTC-USD,2021_default,quick
130,SMA,60,SMA,True,True,True,4.0,1.25,True,6.0,D,2021-04-14,2026-04-03,68,2543.68,519.91,26436.76,50.72,10.25,False,22.06,3.408,9.55,0.223,61.26,-5.09,208.81,-6.0,39,57.4,BTC-USD,2021_default,quick
160,SMA,44,SMA,True,True,True,4.0,1.25,True,9.0,D,2021-04-14,2026-04-03,92,3067.81,628.8,31678.15,61.76,10.182,False,22.83,2.958,8.33,0.195,55.14,-5.51,223.85,-9.0,28,30.4,BTC-USD,2021_default,quick
160,SMA,44,SMA,True,True,True,3.0,1.0,True,6.0,D,2021-04-14,2026-04-03,92,2471.55,506.59,25715.53,49.93,10.145,False,22.83,3.094,6.45,0.202,41.76,-3.99,167.89,-6.0,31,33.7,BTC-USD,2021_default,quick
130,SMA,60,SMA,True,True,True,4.0,1.25,True,4.0,D,2021-04-14,2026-04-03,68,1911.0,390.6,20110.04,39.32,9.935,False,20.59,3.73,7.97,0.215,52.87,-3.67,208.81,-4.0,46,67.6,BTC-USD,2021_default,quick
100,SMA,44,SMA,True,True,True,4.0,1.0,True,12.0,D,2021-04-14,2026-04-03,107,3123.97,632.5,32239.73,64.71,9.774,False,23.36,2.783,7.89,0.183,52.73,-5.78,223.85,-12.0,22,20.6,BTC-USD,2021_default,quick
100,SMA,44,SMA,True,True,True,4.0,2.0,True,12.0,D,2021-04-14,2026-04-03,107,3467.99,702.15,35679.85,72.77,9.649,False,23.36,2.556,8.49,0.19,59.65,-7.11,223.85,-12.0,30,28.0,BTC-USD,2021_default,quick
130,SMA,44,SMA,True,True,True,2.0,1.0,True,9.0,D,2021-04-14,2026-04-03,81,1642.96,335.81,17429.6,34.86,9.634,False,29.63,3.098,5.32,0.232,26.53,-3.61,111.92,-9.0,8,9.9,BTC-USD,2021_default,quick
130,SMA,44,SMA,True,True,True,2.0,2.0,False,2.0,D,2021-04-14,2026-04-03,81,1985.42,405.81,20854.19,42.63,9.518,False,30.86,2.702,6.16,0.234,31.67,-5.23,111.92,-17.36,0,0.0,BTC-USD,2021_default,quick
100,SMA,44,SMA,True,True,True,4.0,1.25,True,12.0,D,2021-04-14,2026-04-03,107,3107.35,629.13,32073.46,67.54,9.315,False,23.36,2.69,7.99,0.184,54.46,-6.17,223.85,-12.0,23,21.5,BTC-USD,2021_default,quick
100,SMA,44,SMA,True,True,True,2.0,2.0,True,4.0,D,2021-04-14,2026-04-03,108,1904.7,385.64,20047.0,42.08,9.165,False,20.37,2.651,4.66,0.196,36.75,-3.55,111.92,-4.0,68,63.0,BTC-USD,2021_default,quick
130,SMA,44,SMA,True,True,True,2.0,1.25,False,2.0,D,2021-04-14,2026-04-03,81,1649.95,337.24,17499.46,36.91,9.136,False,30.86,2.898,5.47,0.231,27.08,-4.17,111.92,-17.36,0,0.0,BTC-USD,2021_default,quick
100,SMA,44,SMA,True,True,True,3.0,2.0,True,6.0,D,2021-04-14,2026-04-03,108,2600.8,526.57,27007.96,57.73,9.121,False,20.37,2.65,6.28,0.187,49.54,-4.78,167.89,-6.0,54,50.0,BTC-USD,2021_default,quick
100,SMA,60,SMA,True,True,True,3.0,1.25,True,6.0,D,2021-04-14,2026-04-03,94,2765.57,559.94,28655.75,62.78,8.919,False,22.34,2.782,6.66,0.208,46.52,-4.81,156.61,-6.0,47,50.0,BTC-USD,2021_default,quick
130,SMA,44,SMA,True,True,True,2.0,1.0,False,2.0,D,2021-04-14,2026-04-03,81,1502.19,307.04,16021.85,35.75,8.589,False,30.86,2.988,5.25,0.228,25.55,-3.82,111.92,-17.36,0,0.0,BTC-USD,2021_default,quick
130,SMA,60,SMA,True,True,True,4.0,1.0,True,4.0,D,2021-04-14,2026-04-03,68,1620.8,331.28,17208.02,38.72,8.555,False,20.59,3.694,7.65,0.208,50.92,-3.57,208.81,-4.0,43,63.2,BTC-USD,2021_default,quick
130,SMA,44,SMA,True,True,True,2.0,1.25,True,12.0,D,2021-04-14,2026-04-03,81,1539.37,314.64,16393.65,36.87,8.535,False,29.63,2.829,5.39,0.228,28.12,-4.19,111.92,-12.0,6,7.4,BTC-USD,2021_default,quick
130,SMA,44,SMA,True,True,True,2.0,1.25,True,9.0,D,2021-04-14,2026-04-03,81,1598.33,326.69,16983.26,38.31,8.528,False,28.4,2.866,5.42,0.23,29.3,-4.05,111.92,-9.0,12,14.8,BTC-USD,2021_default,quick
130,SMA,44,SMA,True,True,True,3.0,2.0,True,9.0,D,2021-04-14,2026-04-03,81,1926.74,393.81,20267.42,46.24,8.516,False,24.69,2.688,7.34,0.209,47.33,-5.77,167.89,-9.0,28,34.6,BTC-USD,2021_default,quick
130,SMA,60,SMA,True,False,True,4.0,1.0,True,4.0,D,2021-04-14,2026-04-03,24,824.9,184.96,9249.05,21.72,8.514,False,20.83,6.542,17.55,0.302,99.43,-4.0,208.81,-4.0,19,79.2,BTC-USD,2021_default,quick
130,SMA,60,SMA,True,False,True,4.0,1.25,True,4.0,D,2021-04-14,2026-04-03,24,824.9,184.96,9249.05,21.72,8.514,False,20.83,6.542,17.55,0.302,99.43,-4.0,208.81,-4.0,19,79.2,BTC-USD,2021_default,quick
130,SMA,60,SMA,True,False,True,4.0,2.0,True,4.0,D,2021-04-14,2026-04-03,24,824.9,184.96,9249.05,21.72,8.514,False,20.83,6.542,17.55,0.302,99.43,-4.0,208.81,-4.0,19,79.2,BTC-USD,2021_default,quick
130,SMA,44,SMA,True,False,True,4.0,1.0,True,9.0,D,2021-04-14,2026-04-03,27,1337.88,300.16,14378.8,35.45,8.468,False,33.33,5.313,19.29,0.313,71.29,-6.71,223.85,-9.0,10,37.0,BTC-USD,2021_default,quick
130,SMA,44,SMA,True,False,True,4.0,1.25,True,9.0,D,2021-04-14,2026-04-03,27,1337.88,300.16,14378.8,35.45,8.468,False,33.33,5.313,19.29,0.313,71.29,-6.71,223.85,-9.0,10,37.0,BTC-USD,2021_default,quick
130,SMA,44,SMA,True,False,True,4.0,2.0,True,9.0,D,2021-04-14,2026-04-03,27,1337.88,300.16,14378.8,35.45,8.468,False,33.33,5.313,19.29,0.313,71.29,-6.71,223.85,-9.0,10,37.0,BTC-USD,2021_default,quick
100,SMA,44,SMA,True,True,True,2.0,1.25,True,4.0,D,2021-04-14,2026-04-03,108,1792.68,362.96,18926.8,43.42,8.36,False,21.3,2.771,4.39,0.197,32.24,-3.15,111.92,-4.0,53,49.1,BTC-USD,2021_default,quick
100,SMA,44,SMA,True,True,True,3.0,1.0,True,9.0,D,2021-04-14,2026-04-03,107,2323.15,470.36,24231.49,57.42,8.192,False,23.36,2.665,6.03,0.185,41.28,-4.72,167.89,-9.0,23,21.5,BTC-USD,2021_default,quick
130,SMA,60,SMA,True,True,True,3.0,1.0,True,9.0,D,2021-04-14,2026-04-03,68,2245.95,459.06,23459.46,56.27,8.158,False,27.94,3.034,7.99,0.241,42.66,-5.45,156.61,-9.0,17,25.0,BTC-USD,2021_default,quick
130,SMA,44,SMA,True,True,True,2.0,1.0,True,12.0,D,2021-04-14,2026-04-03,81,1400.94,286.34,15009.42,35.11,8.155,False,29.63,2.91,5.16,0.224,26.53,-3.84,111.92,-12.0,6,7.4,BTC-USD,2021_default,quick
100,SMA,60,SMA,True,True,True,3.0,2.0,True,4.0,D,2021-04-14,2026-04-03,94,1922.38,389.22,20223.76,48.44,8.035,False,18.09,2.849,5.87,0.197,49.99,-3.87,156.61,-4.0,71,75.5,BTC-USD,2021_default,quick
130,SMA,44,SMA,True,True,True,2.0,1.0,True,6.0,D,2021-04-14,2026-04-03,81,1241.02,253.66,13410.21,31.61,8.025,False,25.93,2.938,4.95,0.218,28.94,-3.45,111.92,-6.0,22,27.2,BTC-USD,2021_default,quick
100,SMA,44,SMA,True,True,True,3.0,1.25,True,9.0,D,2021-04-14,2026-04-03,107,2375.03,480.86,24750.28,60.16,7.993,False,23.36,2.576,6.15,0.186,43.01,-5.09,167.89,-9.0,29,27.1,BTC-USD,2021_default,quick
100,SMA,60,SMA,True,True,True,3.0,1.0,True,6.0,D,2021-04-14,2026-04-03,94,2385.24,482.93,24852.37,60.83,7.939,False,22.34,2.805,6.41,0.202,44.58,-4.57,156.61,-6.0,41,43.6,BTC-USD,2021_default,quick
130,SMA,60,SMA,True,True,True,3.0,1.25,True,9.0,D,2021-04-14,2026-04-03,68,2237.08,457.24,23370.77,57.67,7.929,False,27.94,2.876,8.12,0.241,44.56,-6.01,156.61,-9.0,21,30.9,BTC-USD,2021_default,quick
130,SMA,44,SMA,True,True,True,3.0,1.25,True,6.0,D,2021-04-14,2026-04-03,81,1651.42,337.54,17514.24,42.92,7.864,False,23.46,3.035,6.52,0.2,41.46,-4.19,167.89,-6.0,32,39.5,BTC-USD,2021_default,quick
130,SMA,44,SMA,True,True,True,3.0,2.0,True,12.0,D,2021-04-14,2026-04-03,81,1986.1,405.95,20861.03,51.97,7.812,False,27.16,2.628,7.47,0.211,44.38,-6.3,167.89,-12.0,18,22.2,BTC-USD,2021_default,quick
100,SMA,44,SMA,True,True,True,4.0,2.0,True,9.0,D,2021-04-14,2026-04-03,108,2694.91,545.63,27949.11,73.1,7.464,False,21.3,2.566,7.98,0.182,61.37,-6.47,223.85,-9.0,47,43.5,BTC-USD,2021_default,quick
130,SMA,44,SMA,True,False,True,4.0,1.0,False,2.0,D,2021-04-14,2026-04-03,27,1264.6,283.72,13646.04,38.22,7.423,False,33.33,5.203,19.19,0.31,71.29,-6.85,223.85,-23.78,0,0.0,BTC-USD,2021_default,quick
130,SMA,44,SMA,True,False,True,4.0,1.25,False,2.0,D,2021-04-14,2026-04-03,27,1264.6,283.72,13646.04,38.22,7.423,False,33.33,5.203,19.19,0.31,71.29,-6.85,223.85,-23.78,0,0.0,BTC-USD,2021_default,quick
130,SMA,44,SMA,True,False,True,4.0,2.0,False,2.0,D,2021-04-14,2026-04-03,27,1264.6,283.72,13646.04,38.22,7.423,False,33.33,5.203,19.19,0.31,71.29,-6.85,223.85,-23.78,0,0.0,BTC-USD,2021_default,quick
100,SMA,60,SMA,True,True,True,2.0,2.0,True,4.0,D,2021-04-14,2026-04-03,94,1756.09,355.55,18560.87,48.32,7.357,False,20.21,2.668,5.02,0.214,39.7,-3.77,104.41,-4.0,64,68.1,BTC-USD,2021_default,quick
130,SMA,60,SMA,True,True,True,3.0,1.0,True,6.0,D,2021-04-14,2026-04-03,68,1670.75,341.49,17707.47,47.61,7.173,False,25.0,3.119,7.34,0.226,43.25,-4.62,156.61,-6.0,28,41.2,BTC-USD,2021_default,quick
160,SMA,44,SMA,True,True,True,4.0,1.0,True,12.0,D,2021-04-14,2026-04-03,92,2042.03,418.55,21420.32,59.59,7.024,False,22.83,2.805,7.87,0.185,53.55,-5.65,223.85,-12.0,18,19.6,BTC-USD,2021_default,quick
130,SMA,60,SMA,True,True,True,2.0,2.0,True,4.0,D,2021-04-14,2026-04-03,68,1310.79,267.92,14107.89,38.21,7.012,False,22.06,3.121,5.98,0.243,39.88,-3.62,104.41,-4.0,42,61.8,BTC-USD,2021_default,quick
100,SMA,44,SMA,True,True,True,2.0,1.0,True,4.0,D,2021-04-14,2026-04-03,108,1513.8,306.49,16138.01,43.86,6.988,False,21.3,2.761,4.17,0.19,30.69,-3.01,111.92,-4.0,51,47.2,BTC-USD,2021_default,quick
160,SMA,44,SMA,True,True,True,3.0,1.25,True,6.0,D,2021-04-14,2026-04-03,92,1840.56,377.25,19405.65,54.29,6.949,False,21.74,2.824,6.21,0.192,44.19,-4.35,167.89,-6.0,38,41.3,BTC-USD,2021_default,quick
130,SMA,44,SMA,True,True,True,2.0,2.0,True,4.0,D,2021-04-14,2026-04-03,81,1122.2,229.37,12222.02,33.04,6.942,False,22.22,2.935,5.01,0.207,34.18,-3.33,111.92,-4.0,45,55.6,BTC-USD,2021_default,quick
100,SMA,44,SMA,True,True,True,3.0,1.25,True,4.0,D,2021-04-14,2026-04-03,108,1581.52,320.2,16815.16,46.82,6.839,False,17.59,2.83,5.0,0.173,43.96,-3.32,167.89,-4.0,63,58.3,BTC-USD,2021_default,quick
100,SMA,30,SMA,True,True,True,4.0,1.25,True,6.0,D,2021-04-14,2026-04-03,135,2239.78,453.48,23397.79,66.54,6.815,False,19.26,2.569,5.74,0.156,48.82,-4.53,224.49,-6.0,69,51.1,BTC-USD,2021_default,quick
100,SMA,60,SMA,True,True,True,3.0,2.0,True,6.0,D,2021-04-14,2026-04-03,94,2113.97,428.01,22139.74,63.85,6.704,False,20.21,2.57,6.58,0.199,53.28,-5.25,156.61,-6.0,54,57.4,BTC-USD,2021_default,quick
100,SMA,30,SMA,True,True,True,4.0,1.0,True,6.0,D,2021-04-14,2026-04-03,135,2115.82,428.38,22158.19,64.05,6.689,False,20.0,2.641,5.64,0.154,45.4,-4.3,224.49,-6.0,61,45.2,BTC-USD,2021_default,quick
130,SMA,44,SMA,True,True,True,2.0,1.25,True,4.0,D,2021-04-14,2026-04-03,81,1063.48,217.37,11634.78,33.04,6.578,False,23.46,3.002,4.71,0.209,30.09,-3.07,111.92,-4.0,39,48.1,BTC-USD,2021_default,quick
130,SMA,44,SMA,True,True,True,3.0,2.0,True,6.0,D,2021-04-14,2026-04-03,81,1466.2,299.68,15662.01,45.56,6.577,False,22.22,2.828,6.63,0.196,46.18,-4.66,167.89,-6.0,41,50.6,BTC-USD,2021_default,quick
130,SMA,60,SMA,True,True,True,4.0,2.0,True,12.0,D,2021-04-14,2026-04-03,68,2227.09,455.2,23270.89,70.09,6.495,False,26.47,2.634,10.29,0.226,62.69,-8.57,208.81,-12.0,24,35.3,BTC-USD,2021_default,quick
100,SMA,44,SMA,True,True,True,4.0,1.0,False,2.0,D,2021-04-14,2026-04-03,107,2245.84,454.71,23458.42,70.79,6.423,False,24.3,2.613,7.9,0.181,52.69,-6.47,223.85,-37.08,0,0.0,BTC-USD,2021_default,quick
100,SMA,44,SMA,True,True,True,2.0,1.25,True,6.0,D,2021-04-14,2026-04-03,107,1593.28,322.59,16932.83,50.53,6.384,False,23.36,2.49,4.41,0.193,31.56,-3.86,111.92,-6.0,36,33.6,BTC-USD,2021_default,quick
130,SMA,60,SMA,True,True,True,3.0,2.0,True,6.0,D,2021-04-14,2026-04-03,68,1597.09,326.43,16970.88,51.39,6.352,False,22.06,2.861,7.68,0.224,53.54,-5.3,156.61,-6.0,41,60.3,BTC-USD,2021_default,quick
130,SMA,44,SMA,True,False,True,3.0,1.0,False,2.0,D,2021-04-14,2026-04-03,27,840.6,188.59,9406.05,29.7,6.35,False,33.33,5.203,14.4,0.31,53.46,-5.14,167.89,-17.84,0,0.0,BTC-USD,2021_default,quick
130,SMA,44,SMA,True,False,True,3.0,1.25,False,2.0,D,2021-04-14,2026-04-03,27,840.6,188.59,9406.05,29.7,6.35,False,33.33,5.203,14.4,0.31,53.46,-5.14,167.89,-17.84,0,0.0,BTC-USD,2021_default,quick
130,SMA,44,SMA,True,False,True,3.0,2.0,False,2.0,D,2021-04-14,2026-04-03,27,840.6,188.59,9406.05,29.7,6.35,False,33.33,5.203,14.4,0.31,53.46,-5.14,167.89,-17.84,0,0.0,BTC-USD,2021_default,quick
130,SMA,44,SMA,True,True,True,2.0,1.25,True,6.0,D,2021-04-14,2026-04-03,81,1033.61,211.26,11336.07,33.3,6.344,False,24.69,2.69,4.82,0.207,31.09,-3.79,111.92,-6.0,27,33.3,BTC-USD,2021_default,quick
