allow_longs,allow_shorts,anchor_year,ann_return,atr_entry_enable,atr_entry_len,atr_long_mult,atr_short_mult,atr_sl_enable,atr_sl_len,atr_sl_mult,avg_loss,avg_win,calmar,end_capital,expectancy,fast_ma_len,fast_ma_type,leverage_long,leverage_short,liq_risk,max_dd,max_loss,max_win,period_end,period_start,pl_pct,profit_factor,sharpe_trade,signal_tf,sl_enable,sl_hit_rate,sl_hits,sl_risk_pct,slow_ma_len,slow_ma_type,stage,trades,trail_activate_pct,trail_atr_factor,trail_atr_len,trail_sl_enable,use_fast_ma,win_rate,window_end,window_start
True,True,2021,9167.86,False,14,1.7,1.5,False,14,2.5,-3.23,118.83,511.402,66762.61,47.03,30,SMA,4.5,0.25,False,17.93,-8.5,290.71,2021-04-01,2020-04-01,6576.26,25.732,0.482,D,True,17.6,3,8.5,80,SMA,fine,17,5.0,2.0,14,False,True,41.18,2021-04-01,2020-04-01
True,True,2022,413.99,False,14,1.7,1.5,False,14,2.5,-9.0,41.45,16.8,4808.38,14.54,30,EMA,3.5,2.25,False,24.64,-9.0,87.47,2022-04-01,2021-04-01,380.84,4.03,0.466,D,True,53.3,8,9.0,110,SMA,fine,15,5.0,2.0,14,False,True,46.67,2022-04-01,2021-04-01
True,True,2023,1458.45,False,14,1.7,1.5,False,14,2.5,-4.17,69.12,65.801,15175.17,18.13,25,EMA,4.5,2.5,False,22.16,-4.5,175.71,2023-04-01,2022-04-01,1417.52,7.252,0.405,D,True,60.9,14,4.5,100,SMA,fine,23,5.0,2.0,14,False,True,30.43,2023-04-01,2022-04-01
True,True,2024,1662.69,False,14,1.7,1.5,False,14,2.5,-2.74,117.66,172.835,15248.34,37.39,60,EMA,4.5,0.25,False,9.62,-7.5,336.16,2024-04-01,2023-04-01,1424.83,21.466,0.381,D,True,20.0,3,7.5,90,EMA,fine,15,5.0,2.0,14,False,True,33.33,2024-04-01,2023-04-01
True,True,2025,183.63,False,14,1.7,1.5,False,14,2.5,-2.17,38.93,6.994,2819.92,6.33,20,EMA,4.25,0.25,False,26.26,-3.5,171.93,2025-04-01,2024-04-01,181.99,4.68,0.192,D,True,44.8,13,3.5,120,SMA,fine,29,5.0,2.0,14,False,True,20.69,2025-04-01,2024-04-01
True,True,2026,377.59,False,14,1.7,1.5,False,14,2.5,-3.43,32.94,19.794,4566.58,10.72,60,EMA,4.5,2.5,False,19.08,-4.0,75.18,2026-04-01,2025-04-01,356.66,6.12,0.466,D,True,44.4,8,4.0,130,EMA,fine,18,5.0,2.0,14,False,True,38.89,2026-04-01,2025-04-01
