allow_longs,allow_shorts,anchor_year,ann_return,atr_entry_enable,atr_entry_len,atr_long_mult,atr_short_mult,atr_sl_enable,atr_sl_len,atr_sl_mult,avg_loss,avg_win,calmar,end_capital,expectancy,fast_ma_len,fast_ma_type,leverage_long,leverage_short,liq_risk,max_dd,max_loss,max_win,period_end,period_start,pl_pct,profit_factor,sharpe_trade,signal_tf,sl_enable,sl_hit_rate,sl_hits,sl_risk_pct,slow_ma_len,slow_ma_type,stage,trades,trail_activate_pct,trail_atr_factor,trail_atr_len,trail_sl_enable,use_fast_ma,win_rate,window_end,window_start
True,True,2021,2484.59,False,14,1.7,1.5,False,14,2.5,-3.64,103.98,138.742,15285.14,29.99,30,SMA,3.0,1.0,False,17.91,-6.0,207.46,2021-04-01,2020-04-01,1428.51,12.982,0.428,D,True,25.0,4,6.0,100,SMA,coarse,16,5.0,2.0,14,False,True,31.25,2021-04-01,2020-04-01
True,True,2021,2436.47,False,14,1.7,1.5,False,14,2.5,-3.77,103.98,132.429,15008.46,29.9,30,SMA,3.0,0.5,False,18.4,-8.0,207.46,2021-04-01,2020-04-01,1400.85,12.548,0.426,D,True,25.0,4,8.0,100,SMA,coarse,16,5.0,2.0,14,False,True,31.25,2021-04-01,2020-04-01
True,True,2021,2394.03,False,14,1.7,1.5,False,14,2.5,-3.94,103.98,116.817,14764.45,29.78,30,SMA,3.0,1.25,False,20.49,-6.0,207.46,2021-04-01,2020-04-01,1376.44,11.983,0.424,D,True,31.2,5,6.0,100,SMA,coarse,16,5.0,2.0,14,False,True,31.25,2021-04-01,2020-04-01
True,True,2021,2324.81,False,14,1.7,1.5,False,14,2.5,-4.13,103.98,115.303,14366.48,29.65,30,SMA,3.0,0.5,False,20.16,-9.0,207.46,2021-04-01,2020-04-01,1336.65,11.443,0.422,D,True,25.0,4,9.0,100,SMA,coarse,16,5.0,2.0,14,False,True,31.25,2021-04-01,2020-04-01
True,True,2021,2265.46,False,14,1.7,1.5,False,14,2.5,-4.37,103.98,99.219,14025.2,29.49,30,SMA,3.0,1.0,False,22.83,-8.0,207.46,2021-04-01,2020-04-01,1302.52,10.821,0.419,D,True,25.0,4,8.0,100,SMA,coarse,16,5.0,2.0,14,False,True,31.25,2021-04-01,2020-04-01
True,True,2021,2249.46,False,14,1.7,1.5,False,14,2.5,-2.66,1726.61,94.83,13933.25,154.55,60,SMA,4.0,0.5,False,23.72,-4.0,1726.61,2021-04-01,2020-04-01,1293.32,64.88,0.296,D,True,45.5,5,4.0,100,SMA,coarse,11,5.0,2.0,14,False,True,9.09,2021-04-01,2020-04-01
True,True,2021,2244.07,False,14,1.7,1.5,False,14,2.5,-3.4,1803.38,83.237,13902.26,177.28,60,SMA,4.0,0.5,False,26.96,-6.0,1803.38,2021-04-01,2020-04-01,1290.23,58.91,0.31,D,True,40.0,4,6.0,100,SMA,coarse,10,5.0,2.0,14,False,True,10.0,2021-04-01,2020-04-01
True,True,2021,2186.65,False,14,1.7,1.5,False,14,2.5,-4.68,103.98,81.245,13572.14,29.28,30,SMA,3.0,2.0,False,26.91,-6.0,207.46,2021-04-01,2020-04-01,1257.21,10.102,0.415,D,True,43.8,7,6.0,100,SMA,coarse,16,5.0,2.0,14,False,True,31.25,2021-04-01,2020-04-01
True,True,2021,2183.19,False,14,1.7,1.5,False,14,2.5,-4.67,103.98,85.834,13552.24,29.28,30,SMA,3.0,1.25,False,25.44,-8.0,207.46,2021-04-01,2020-04-01,1255.22,10.124,0.415,D,True,25.0,4,8.0,100,SMA,coarse,16,5.0,2.0,14,False,True,31.25,2021-04-01,2020-04-01
True,True,2021,2214.84,False,14,1.7,1.5,False,14,2.5,-2.67,124.86,155.561,13430.98,27.33,30,SMA,3.0,0.5,False,14.24,-4.0,207.46,2021-04-01,2020-04-01,1243.1,14.371,0.399,D,True,35.3,6,4.0,100,SMA,coarse,17,5.0,2.0,14,False,True,23.53,2021-04-01,2020-04-01
True,True,2021,2161.11,False,14,1.7,1.5,False,14,2.5,-4.73,103.98,85.346,13425.28,29.24,30,SMA,3.0,1.0,False,25.32,-9.0,207.46,2021-04-01,2020-04-01,1242.53,9.989,0.415,D,True,25.0,4,9.0,100,SMA,coarse,16,5.0,2.0,14,False,True,31.25,2021-04-01,2020-04-01
