allow_longs,allow_shorts,anchor_year,ann_return,atr_entry_enable,atr_entry_len,atr_long_mult,atr_short_mult,atr_sl_enable,atr_sl_len,atr_sl_mult,avg_loss,avg_win,calmar,end_capital,expectancy,fast_ma_len,fast_ma_type,leverage_long,leverage_short,liq_risk,max_dd,max_loss,max_win,period_end,period_start,pl_pct,profit_factor,sharpe_trade,signal_tf,sl_enable,sl_hit_rate,sl_hits,sl_risk_pct,slow_ma_len,slow_ma_type,stage,trades,trail_activate_pct,trail_atr_factor,trail_atr_len,trail_sl_enable,use_fast_ma,win_rate,window_end,window_start
True,True,2021,4742.5,False,14,1.7,1.5,False,14,2.5,-3.85,138.64,257.767,28266.95,40.68,30,SMA,4.0,0.5,False,18.4,-8.0,276.62,2021-04-01,2020-04-01,2726.69,16.359,0.437,D,True,25.0,4,8.0,100,SMA,coarse,16,5.0,2.0,14,False,True,31.25,2021-04-01,2020-04-01
True,True,2022,191.47,False,14,1.7,1.5,False,14,2.5,-7.38,53.91,5.416,2787.62,9.33,30,EMA,4.0,2.0,False,35.35,-8.0,179.1,2022-04-01,2021-04-01,178.76,2.738,0.224,D,True,63.6,14,8.0,100,SMA,coarse,22,5.0,2.0,14,False,True,27.27,2022-04-01,2021-04-01
True,True,2023,1006.31,False,14,1.7,1.5,False,14,2.5,-3.49,55.12,117.184,10780.66,23.86,44,EMA,4.0,2.0,False,8.59,-4.0,156.19,2023-04-01,2022-04-01,978.07,13.821,0.486,D,True,40.0,6,4.0,100,SMA,coarse,15,5.0,2.0,14,False,True,46.67,2023-04-01,2022-04-01
True,True,2024,1208.64,False,14,1.7,1.5,False,14,2.5,-3.76,160.87,61.292,10662.47,37.4,60,SMA,4.0,0.5,False,19.72,-7.08,247.17,2024-04-01,2023-04-01,966.25,14.265,0.438,D,True,0.0,0,12.0,160,SMA,coarse,12,5.0,2.0,14,False,True,25.0,2024-04-01,2023-04-01
True,True,2025,89.22,False,14,1.7,1.5,False,14,2.5,-2.86,56.97,2.61,1884.27,6.0,30,EMA,4.0,0.5,False,34.18,-4.0,208.93,2025-04-01,2024-04-01,88.43,3.46,0.147,D,True,51.9,14,4.0,130,SMA,coarse,27,5.0,2.0,14,False,True,14.81,2025-04-01,2024-04-01
True,True,2026,273.91,False,14,1.7,1.5,False,14,2.5,-3.34,27.96,14.097,3587.23,8.83,60,EMA,4.0,2.0,False,19.43,-4.0,66.82,2026-04-01,2025-04-01,258.72,5.325,0.443,D,True,44.4,8,4.0,130,EMA,coarse,18,5.0,2.0,14,False,True,38.89,2026-04-01,2025-04-01
