slow_ma_len,slow_ma_type,fast_ma_len,fast_ma_type,allow_longs,allow_shorts,use_fast_ma,leverage_long,leverage_short,sl_enable,sl_risk_pct,atr_sl_enable,atr_sl_len,atr_sl_mult,signal_tf,period_start,period_end,trades,pl_pct,ann_return,end_capital,max_dd,calmar,liq_risk,win_rate,profit_factor,expectancy,sharpe_trade,avg_win,avg_loss,max_win,max_loss,sl_hits,sl_hit_rate,ticker,period_name,mode
130,SMA,44,SMA,True,True,True,4.0,2.0,False,9.0,True,14,2.5,D,2021-04-14,2026-04-03,81,3486.39,712.59,35863.89,61.12,11.659,False,29.63,2.817,10.14,0.22,53.06,-7.93,223.85,-34.73,2,2.5,BTC-USD,2021_default,atr_quick
130,SMA,44,SMA,True,True,True,4.0,2.0,False,9.0,True,7,2.5,D,2021-04-14,2026-04-03,81,3470.65,709.38,35706.53,61.12,11.606,False,29.63,2.815,10.14,0.219,53.06,-7.94,223.85,-34.73,2,2.5,BTC-USD,2021_default,atr_quick
130,SMA,44,SMA,True,True,True,4.0,2.0,False,9.0,True,20,2.5,D,2021-04-14,2026-04-03,81,3457.06,706.6,35570.55,61.12,11.561,False,29.63,2.813,10.13,0.219,53.06,-7.94,223.85,-34.73,2,2.5,BTC-USD,2021_default,atr_quick
130,SMA,44,SMA,True,True,True,4.0,2.0,False,9.0,True,28,2.5,D,2021-04-14,2026-04-03,81,3418.68,698.75,35186.76,61.12,11.432,False,29.63,2.808,10.12,0.219,53.06,-7.96,223.85,-34.73,2,2.5,BTC-USD,2021_default,atr_quick
130,SMA,44,SMA,True,True,True,3.0,2.0,False,9.0,True,10,2.0,D,2021-04-14,2026-04-03,81,2907.98,594.37,30079.76,52.34,11.357,False,29.63,2.759,8.12,0.226,42.98,-6.56,167.89,-28.74,4,4.9,BTC-USD,2021_default,atr_quick
130,SMA,44,SMA,True,True,True,3.0,1.0,False,9.0,False,14,2.5,D,2021-04-14,2026-04-03,81,2656.38,542.95,27563.83,48.6,11.171,False,30.86,3.138,7.41,0.221,35.26,-5.02,167.89,-26.05,0,0.0,BTC-USD,2021_default,atr_quick
130,SMA,44,SMA,True,True,True,3.0,1.0,False,9.0,True,28,3.5,D,2021-04-14,2026-04-03,81,2656.38,542.95,27563.83,48.6,11.171,False,30.86,3.138,7.41,0.221,35.26,-5.02,167.89,-26.05,0,0.0,BTC-USD,2021_default,atr_quick
130,SMA,44,SMA,True,True,True,4.0,2.0,False,9.0,True,20,2.0,D,2021-04-14,2026-04-03,81,3329.67,680.56,34296.69,61.15,11.129,False,29.63,2.792,10.09,0.218,53.06,-8.0,223.85,-34.78,6,7.4,BTC-USD,2021_default,atr_quick
130,SMA,44,SMA,True,True,True,4.0,2.0,False,9.0,True,14,2.0,D,2021-04-14,2026-04-03,81,3340.18,682.71,34401.78,61.95,11.021,False,29.63,2.794,10.1,0.219,53.06,-7.99,223.85,-36.12,6,7.4,BTC-USD,2021_default,atr_quick
130,SMA,44,SMA,True,True,True,3.0,2.0,False,9.0,True,10,2.5,D,2021-04-14,2026-04-03,81,2721.65,556.29,28216.5,51.32,10.839,False,29.63,2.717,8.05,0.224,42.98,-6.66,167.89,-26.05,2,2.5,BTC-USD,2021_default,atr_quick
130,SMA,44,SMA,True,True,True,3.0,2.0,False,9.0,True,14,2.5,D,2021-04-14,2026-04-03,81,2719.71,555.89,28197.13,51.32,10.831,False,29.63,2.717,8.05,0.224,42.98,-6.66,167.89,-26.05,2,2.5,BTC-USD,2021_default,atr_quick
130,SMA,44,SMA,True,True,True,4.0,1.0,False,9.0,True,7,2.0,D,2021-04-14,2026-04-03,81,3143.39,642.49,32433.89,59.6,10.78,False,29.63,3.113,9.39,0.212,46.68,-6.31,223.85,-34.73,3,3.7,BTC-USD,2021_default,atr_quick
130,SMA,44,SMA,True,True,True,3.0,2.0,False,9.0,True,20,2.5,D,2021-04-14,2026-04-03,81,2703.98,552.67,28039.76,51.32,10.769,False,29.63,2.713,8.04,0.224,42.98,-6.67,167.89,-26.05,2,2.5,BTC-USD,2021_default,atr_quick
