allow_longs,allow_shorts,anchor_year,ann_return,atr_entry_enable,atr_entry_len,atr_long_mult,atr_short_mult,atr_sl_enable,atr_sl_len,atr_sl_mult,avg_loss,avg_win,calmar,end_capital,expectancy,fast_ma_len,fast_ma_type,leverage_long,leverage_short,liq_risk,max_dd,max_loss,max_win,period_end,period_start,pl_pct,profit_factor,sharpe_trade,signal_tf,sl_enable,sl_hit_rate,sl_hits,sl_risk_pct,slow_ma_len,slow_ma_type,stage,trades,trail_activate_pct,trail_atr_factor,trail_atr_len,trail_sl_enable,use_fast_ma,win_rate,window_end,window_start
True,True,2021,4742.5,False,14,1.7,1.5,False,14,2.5,-3.85,138.64,257.767,28266.95,40.68,30,SMA,4.0,0.5,False,18.4,-8.0,276.62,2021-04-01,2020-04-01,2726.69,16.359,0.437,D,True,25.0,4,8.0,100,SMA,coarse,16,5.0,2.0,14,False,True,31.25,2021-04-01,2020-04-01
True,True,2022,174.51,False,14,1.7,1.5,False,14,2.5,-7.38,53.73,4.433,2629.21,9.28,44,SMA,4.0,2.0,False,39.36,-8.0,179.1,2022-04-01,2021-04-01,162.92,2.729,0.218,D,True,63.6,14,8.0,100,SMA,coarse,22,5.0,2.0,14,False,True,27.27,2022-04-01,2021-04-01
True,True,2023,899.05,False,14,1.7,1.5,False,14,2.5,-4.0,73.94,84.218,9738.16,31.43,60,SMA,4.0,2.0,False,10.68,-4.0,156.19,2023-04-01,2022-04-01,873.82,15.405,0.568,D,True,54.5,6,4.0,100,SMA,coarse,11,5.0,2.0,14,False,True,45.45,2023-04-01,2022-04-01
True,True,2024,1208.64,False,14,1.7,1.5,False,14,2.5,-3.76,160.87,61.292,10662.47,37.4,60,SMA,4.0,0.5,False,19.72,-7.08,247.17,2024-04-01,2023-04-01,966.25,14.265,0.438,D,True,0.0,0,12.0,160,SMA,coarse,12,5.0,2.0,14,False,True,25.0,2024-04-01,2023-04-01
True,True,2025,97.67,False,14,1.7,1.5,False,14,2.5,-2.91,70.47,3.825,1858.37,7.58,44,SMA,4.0,0.5,False,25.53,-4.0,208.93,2025-04-01,2024-04-01,85.84,4.042,0.164,D,True,52.4,11,4.0,130,SMA,coarse,21,5.0,2.0,14,False,True,14.29,2025-04-01,2024-04-01
True,True,2026,166.34,False,14,1.7,1.5,False,14,2.5,-5.75,27.07,5.29,2566.65,8.32,60,SMA,4.0,2.0,False,31.44,-8.0,37.83,2026-04-01,2025-04-01,156.67,3.532,0.456,D,True,28.6,4,8.0,130,SMA,coarse,14,5.0,2.0,14,False,True,42.86,2026-04-01,2025-04-01
