allow_longs,allow_shorts,anchor_year,ann_return,atr_entry_enable,atr_entry_len,atr_long_mult,atr_short_mult,atr_sl_enable,atr_sl_len,atr_sl_mult,avg_loss,avg_win,calmar,end_capital,expectancy,fast_ma_len,fast_ma_type,leverage_long,leverage_short,liq_risk,max_dd,max_loss,max_win,period_end,period_start,pl_pct,profit_factor,sharpe_trade,signal_tf,sl_enable,sl_hit_rate,sl_hits,sl_risk_pct,slow_ma_len,slow_ma_type,stage,trades,trail_activate_pct,trail_atr_factor,trail_atr_len,trail_sl_enable,use_fast_ma,win_rate,window_end,window_start
True,True,2021,4742.5,False,14,1.7,1.5,False,14,2.5,-3.85,138.64,257.767,28266.95,40.68,30,SMA,4.0,0.5,False,18.4,-8.0,276.62,2021-04-01,2020-04-01,2726.69,16.359,0.437,D,True,25.0,4,8.0,100,SMA,coarse,16,5.0,2.0,14,False,True,31.25,2021-04-01,2020-04-01
True,True,2021,4532.2,False,14,1.7,1.5,False,14,2.5,-4.22,138.64,224.782,27057.84,40.43,30,SMA,4.0,0.5,False,20.16,-9.0,276.62,2021-04-01,2020-04-01,2605.78,14.948,0.433,D,True,25.0,4,9.0,100,SMA,coarse,16,5.0,2.0,14,False,True,31.25,2021-04-01,2020-04-01
True,True,2021,4420.41,False,14,1.7,1.5,False,14,2.5,-4.45,138.64,206.908,26415.08,40.26,30,SMA,4.0,1.0,False,21.36,-8.0,276.62,2021-04-01,2020-04-01,2541.51,14.151,0.431,D,True,25.0,4,8.0,100,SMA,coarse,16,5.0,2.0,14,False,True,31.25,2021-04-01,2020-04-01
True,True,2021,4265.48,False,14,1.7,1.5,False,14,2.5,-4.75,138.64,186.917,25524.31,40.06,30,SMA,4.0,1.25,False,22.82,-8.0,276.62,2021-04-01,2020-04-01,2452.43,13.256,0.429,D,True,25.0,4,8.0,100,SMA,coarse,16,5.0,2.0,14,False,True,31.25,2021-04-01,2020-04-01
True,True,2021,4223.89,False,14,1.7,1.5,False,14,2.5,-4.82,138.64,183.135,25285.19,40.01,30,SMA,4.0,1.0,False,23.06,-9.0,276.62,2021-04-01,2020-04-01,2428.52,13.082,0.428,D,True,25.0,4,9.0,100,SMA,coarse,16,5.0,2.0,14,False,True,31.25,2021-04-01,2020-04-01
True,True,2021,4075.58,False,14,1.7,1.5,False,14,2.5,-5.12,138.64,162.169,24432.52,39.81,30,SMA,4.0,1.25,False,25.13,-9.0,276.62,2021-04-01,2020-04-01,2343.25,12.314,0.425,D,True,25.0,4,9.0,100,SMA,coarse,16,5.0,2.0,14,False,True,31.25,2021-04-01,2020-04-01
True,True,2021,3941.63,False,14,1.7,1.5,False,14,2.5,-5.31,138.64,155.55,23662.37,39.68,30,SMA,4.0,0.5,False,25.34,-12.0,276.62,2021-04-01,2020-04-01,2266.24,11.875,0.423,D,True,25.0,4,12.0,100,SMA,coarse,16,5.0,2.0,14,False,True,31.25,2021-04-01,2020-04-01
True,True,2021,3804.96,False,14,1.7,1.5,False,14,2.5,-5.7,138.64,124.095,22876.57,39.41,30,SMA,4.0,2.0,False,30.66,-8.0,276.62,2021-04-01,2020-04-01,2187.66,11.057,0.42,D,True,37.5,6,8.0,100,SMA,coarse,16,5.0,2.0,14,False,True,31.25,2021-04-01,2020-04-01
True,True,2021,3781.29,False,14,1.7,1.5,False,14,2.5,-3.77,136.08,121.687,22740.5,33.04,30,SMA,4.0,0.5,False,31.07,-8.0,276.62,2021-04-01,2020-04-01,2174.05,12.907,0.381,D,True,26.3,5,8.0,100,EMA,coarse,19,5.0,2.0,14,False,True,26.32,2021-04-01,2020-04-01
True,True,2021,3672.01,False,14,1.7,1.5,False,14,2.5,-5.91,138.64,122.678,22112.17,39.26,30,SMA,4.0,1.0,False,29.93,-12.0,276.62,2021-04-01,2020-04-01,2111.22,10.667,0.418,D,True,25.0,4,12.0,100,SMA,coarse,16,5.0,2.0,14,False,True,31.25,2021-04-01,2020-04-01
