min_calmar,mean_calmar,n_positive,n_periods,slow_ma_len,slow_ma_type,fast_ma_len,fast_ma_type,allow_longs,allow_shorts,use_fast_ma,leverage_long,leverage_short,sl_enable,sl_risk_pct,atr_sl_enable,atr_sl_len,atr_sl_mult,signal_tf,calmar_btc_p1_bull_2017,ann_btc_p1_bull_2017,maxdd_btc_p1_bull_2017,trades_btc_p1_bull_2017,calmar_btc_p2_bear_2018,ann_btc_p2_bear_2018,maxdd_btc_p2_bear_2018,trades_btc_p2_bear_2018,calmar_btc_p3_sideways_2019,ann_btc_p3_sideways_2019,maxdd_btc_p3_sideways_2019,trades_btc_p3_sideways_2019,calmar_btc_p4_bull_2020_2021,ann_btc_p4_bull_2020_2021,maxdd_btc_p4_bull_2020_2021,trades_btc_p4_bull_2020_2021,calmar_btc_p5_bear_2022,ann_btc_p5_bear_2022,maxdd_btc_p5_bear_2022,trades_btc_p5_bear_2022,calmar_btc_p6_bull_2023_2024,ann_btc_p6_bull_2023_2024,maxdd_btc_p6_bull_2023_2024,trades_btc_p6_bull_2023_2024,calmar_btc_p7_current_2025,ann_btc_p7_current_2025,maxdd_btc_p7_current_2025,trades_btc_p7_current_2025
0.66,17.686714285714285,7,7,130,SMA,60,SMA,True,True,True,2.0,2.0,True,9.0,False,14,2.5,D,80.186,1877.85,23.42,9,1.103,47.64,43.21,15,28.08,272.08,9.69,12,10.902,440.06,40.37,13,0.692,29.91,43.21,11,2.184,126.52,57.94,33,0.66,25.37,38.41,19
0.658,8.915285714285714,7,7,130,SMA,60,SMA,True,True,True,2.0,1.0,True,6.0,False,14,2.5,D,25.516,381.8,14.96,9,0.658,20.42,31.01,15,13.859,220.7,15.92,12,15.349,488.2,31.81,13,1.111,27.32,24.6,11,5.225,231.97,44.4,33,0.689,16.78,24.34,19
0.633,19.07428571428572,7,7,130,SMA,60,SMA,True,True,True,2.0,2.0,True,8.0,False,14,2.5,D,88.371,1955.75,22.13,9,1.623,63.91,39.36,15,28.941,280.43,9.69,12,10.489,435.66,41.53,13,1.008,39.7,39.36,11,2.455,139.45,56.8,33,0.633,24.59,38.86,19
0.6,8.687857142857144,7,7,130,SMA,60,SMA,True,True,True,2.0,1.25,True,6.0,False,14,2.5,D,23.849,376.67,15.79,9,0.966,29.95,31.01,15,14.422,229.66,15.92,12,15.533,497.13,32.01,13,0.6,18.61,31.01,11,4.521,212.57,47.02,33,0.924,23.06,24.95,19
0.586,5.388142857142857,7,7,130,SMA,44,SMA,True,True,True,2.0,1.25,True,6.0,False,14,2.5,D,11.889,217.29,18.28,9,3.015,71.86,23.83,17,8.968,206.74,23.05,12,4.398,185.8,42.25,22,0.788,20.96,26.61,14,8.073,268.81,33.3,36,0.586,16.45,28.09,25
0.577,8.619714285714286,7,7,130,SMA,60,SMA,True,True,True,3.0,2.0,True,9.0,False,14,2.5,D,22.086,517.23,23.42,9,1.032,44.59,43.21,15,13.704,317.52,23.17,12,16.649,741.23,44.52,13,0.577,24.91,43.21,11,5.404,336.05,62.18,33,0.886,31.6,35.67,19
0.535,6.622428571428571,7,7,130,SMA,44,SMA,True,True,True,3.0,1.0,True,9.0,False,14,2.5,D,12.163,321.45,26.43,9,0.751,25.41,33.86,17,7.372,242.61,32.91,12,7.418,349.6,47.13,22,0.868,21.31,24.56,14,17.25,665.04,38.55,36,0.535,16.06,30.02,25
0.527,24.933714285714284,7,7,100,SMA,44,SMA,True,True,True,2.0,2.0,True,12.0,False,14,2.5,D,124.788,3974.85,31.85,13,2.128,84.86,39.88,22,5.416,222.45,41.07,17,37.577,1013.48,26.97,37,1.234,49.08,39.78,17,2.866,177.36,61.89,41,0.527,20.87,39.6,33
0.513,5.524714285714286,7,7,130,SMA,44,SMA,True,True,True,3.0,2.0,True,9.0,False,14,2.5,D,11.532,304.78,26.43,9,3.455,116.84,33.82,17,8.599,282.99,32.91,12,4.237,240.37,56.73,22,0.757,28.44,37.6,14,9.58,443.03,46.24,36,0.513,20.43,39.8,25
0.509,21.719571428571435,7,7,130,SMA,60,SMA,True,True,True,2.0,2.0,True,12.0,False,14,2.5,D,115.55,2151.44,18.62,9,0.509,27.28,53.56,15,20.573,246.88,12.0,12,11.68,511.93,43.83,13,1.122,49.49,44.11,11,2.059,115.29,56.0,33,0.544,21.97,40.36,19
