min_calmar,mean_calmar,n_positive,n_periods,slow_ma_len,slow_ma_type,fast_ma_len,fast_ma_type,allow_longs,allow_shorts,use_fast_ma,leverage_long,leverage_short,sl_enable,sl_risk_pct,atr_sl_enable,atr_sl_len,atr_sl_mult,signal_tf,calmar_btc_p1_bull_2017,ann_btc_p1_bull_2017,maxdd_btc_p1_bull_2017,trades_btc_p1_bull_2017,calmar_btc_p2_bear_2018,ann_btc_p2_bear_2018,maxdd_btc_p2_bear_2018,trades_btc_p2_bear_2018,calmar_btc_p3_sideways_2019,ann_btc_p3_sideways_2019,maxdd_btc_p3_sideways_2019,trades_btc_p3_sideways_2019,calmar_btc_p4_bull_2020_2021,ann_btc_p4_bull_2020_2021,maxdd_btc_p4_bull_2020_2021,trades_btc_p4_bull_2020_2021,calmar_btc_p5_bear_2022,ann_btc_p5_bear_2022,maxdd_btc_p5_bear_2022,trades_btc_p5_bear_2022,calmar_btc_p6_bull_2023_2024,ann_btc_p6_bull_2023_2024,maxdd_btc_p6_bull_2023_2024,trades_btc_p6_bull_2023_2024,calmar_btc_p7_current_2025,ann_btc_p7_current_2025,maxdd_btc_p7_current_2025,trades_btc_p7_current_2025
0.472,19.823857142857143,7,7,130,SMA,44,SMA,True,True,True,2.0,1.0,True,9.0,False,14,2.5,D,99.241,1571.4,15.83,9,0.829,28.08,33.86,17,5.529,163.17,29.51,12,23.166,717.2,30.96,22,1.065,26.16,24.56,14,8.465,295.07,34.86,36,0.472,12.49,26.5,25
0.464,5.836571428571429,7,7,100,SMA,60,SMA,True,True,True,2.0,2.0,True,4.0,False,14,2.5,D,13.321,245.93,18.46,15,3.802,94.51,24.86,20,0.557,13.37,24.01,17,11.655,442.35,37.95,29,5.049,125.48,24.86,14,6.008,290.33,48.32,38,0.464,15.98,34.43,27
0.454,24.462857142857143,7,7,130,SMA,44,SMA,True,True,True,2.0,1.25,True,12.0,False,14,2.5,D,129.307,2406.26,18.61,9,0.618,26.41,42.73,17,4.781,152.76,31.95,12,28.068,924.82,32.95,22,1.005,30.67,30.52,14,7.007,258.3,36.87,36,0.454,12.72,28.02,25
0.448,17.765428571428572,7,7,130,SMA,44,SMA,True,True,True,2.0,2.0,True,9.0,False,14,2.5,D,95.04,1505.89,15.84,9,3.587,121.32,33.82,17,6.575,194.02,29.51,12,13.448,509.73,37.9,22,0.893,33.59,37.6,14,4.367,187.82,43.01,36,0.448,16.71,37.32,25
0.447,5.632142857142858,7,7,130,SMA,44,SMA,True,True,True,2.0,1.0,True,6.0,False,14,2.5,D,12.063,220.47,18.28,9,2.173,53.0,24.39,17,8.584,197.88,23.05,12,4.381,184.36,42.08,22,1.604,32.93,20.54,14,10.173,305.01,29.98,36,0.447,12.18,27.24,25
0.436,23.63314285714286,7,7,100,SMA,60,SMA,True,True,True,2.0,2.0,True,12.0,False,14,2.5,D,117.507,2433.29,20.71,12,1.353,55.33,40.9,19,12.175,265.29,21.79,17,31.753,856.41,26.97,28,0.436,22.7,52.08,14,1.5,101.51,67.7,38,0.708,30.52,43.13,27
0.435,7.063285714285714,7,7,130,SMA,44,SMA,True,True,True,4.0,1.25,True,12.0,False,14,2.5,D,11.9,404.19,33.97,9,0.495,21.13,42.73,17,6.586,275.06,41.76,12,7.263,419.65,57.78,22,0.712,21.72,30.52,14,22.052,1052.5,47.73,36,0.435,16.56,38.1,25
0.41,8.620142857142856,7,7,130,SMA,60,SMA,True,True,True,4.0,2.0,True,12.0,False,14,2.5,D,22.642,642.68,28.38,9,0.41,21.97,53.56,15,11.729,351.46,29.96,12,16.682,911.33,54.63,13,0.888,39.19,44.11,11,7.47,523.55,70.09,33,0.52,22.73,43.74,19
0.347,17.410714285714285,7,7,130,SMA,44,SMA,True,True,True,2.0,2.0,True,8.0,False,14,2.5,D,99.803,1532.98,15.36,9,4.641,139.69,30.1,17,7.622,207.01,27.16,12,3.339,161.24,48.3,22,1.137,38.77,34.09,14,4.986,205.94,41.3,36,0.347,13.35,38.45,25
0.331,18.88,7,7,130,SMA,44,SMA,True,True,True,2.0,1.0,True,8.0,False,14,2.5,D,107.882,1608.45,14.91,9,1.159,35.82,30.9,17,6.435,174.77,27.16,12,6.486,256.97,39.62,22,1.09,26.52,24.33,14,8.777,301.55,34.36,36,0.331,8.86,26.78,25
0.328,7.606571428571429,7,7,130,SMA,60,SMA,True,True,True,2.0,2.0,True,6.0,False,14,2.5,D,21.815,369.59,16.94,9,3.256,100.98,31.01,15,7.632,202.76,26.57,12,14.267,501.52,35.15,13,1.931,59.9,31.01,11,4.017,194.48,48.41,33,0.328,9.01,27.51,19
0.297,5.901571428571429,7,7,130,SMA,44,SMA,True,True,True,4.0,2.0,True,12.0,False,14,2.5,D,11.456,389.12,33.97,9,2.048,90.19,44.03,17,7.355,307.16,41.76,12,3.866,261.28,67.59,22,1.366,51.58,37.75,14,14.923,775.48,51.96,36,0.297,14.25,48.02,25
0.283,6.502285714285715,7,7,130,SMA,44,SMA,True,True,True,3.0,1.25,True,9.0,False,14,2.5,D,12.005,317.28,26.43,9,1.395,48.12,34.51,17,7.681,252.81,32.91,12,7.902,373.65,47.28,22,0.997,28.64,28.72,14,15.253,613.35,40.21,36,0.283,10.63,37.62,25
0.254,23.007714285714286,7,7,130,SMA,60,SMA,True,True,True,2.0,1.25,True,8.0,False,14,2.5,D,104.95,2029.64,19.34,9,0.478,18.8,39.36,15,26.002,251.95,9.69,12,25.083,652.1,26.0,13,1.037,32.19,31.05,11,3.25,171.23,52.69,33,0.254,8.34,32.8,19
0.254,21.95142857142857,7,7,130,SMA,44,SMA,True,True,True,2.0,2.0,True,12.0,False,14,2.5,D,125.313,2331.94,18.61,9,2.232,98.26,44.03,17,5.453,174.24,31.95,12,14.438,599.34,41.51,22,1.665,62.85,37.75,14,4.305,180.72,41.98,36,0.254,10.51,41.33,25
0.251,20.547000000000004,7,7,130,SMA,60,SMA,True,True,True,2.0,1.25,True,9.0,False,14,2.5,D,91.938,1938.33,21.08,9,0.251,10.67,42.58,15,25.205,244.22,9.69,12,21.985,624.03,28.38,13,0.806,26.83,33.27,11,3.328,176.1,52.92,33,0.316,10.0,31.62,19
0.23,6.0881428571428575,7,7,130,SMA,44,SMA,True,True,True,2.0,0.5,True,6.0,False,14,2.5,D,12.411,226.83,18.28,9,0.23,5.36,23.27,17,7.809,180.02,23.05,12,6.763,230.4,34.07,22,0.681,9.72,14.28,14,14.287,373.25,26.13,36,0.436,8.91,20.43,25
0.223,25.93842857142857,7,7,100,SMA,44,SMA,True,True,True,2.0,1.25,True,12.0,False,14,2.5,D,124.788,3974.85,31.85,13,0.801,28.31,35.36,22,5.929,217.5,36.68,17,44.284,991.56,22.39,37,0.724,21.71,29.97,17,4.82,263.05,54.57,41,0.223,7.43,33.37,33
0.211,19.81871428571429,7,7,130,SMA,44,SMA,True,True,True,2.0,1.25,True,9.0,False,14,2.5,D,98.206,1555.03,15.83,9,1.485,51.24,34.51,17,5.793,170.96,29.51,12,24.482,762.88,31.16,22,1.177,33.79,28.72,14,7.377,270.1,36.62,36,0.211,7.27,34.48,25
0.196,11.260714285714286,7,7,130,SMA,60,SMA,True,True,True,3.0,1.25,True,9.0,False,14,2.5,D,25.488,537.37,21.08,9,0.196,8.34,42.58,15,12.354,286.24,23.17,12,31.974,1036.33,32.41,13,0.66,21.95,33.27,11,7.703,444.23,57.67,33,0.45,15.35,34.08,19
0.186,24.526285714285716,7,7,130,SMA,60,SMA,True,True,True,3.0,2.0,True,12.0,False,14,2.5,D,129.186,3666.92,28.38,9,0.46,24.62,53.56,15,25.239,360.97,14.3,12,12.139,621.62,51.21,13,1.034,45.62,44.11,11,3.44,236.2,68.67,33,0.186,8.9,47.84,19
0.162,24.44157142857143,7,7,130,SMA,44,SMA,True,True,True,2.0,1.0,True,12.0,False,14,2.5,D,130.638,2431.04,18.61,9,0.162,6.82,42.16,17,4.554,145.51,31.95,12,26.566,870.14,32.75,22,0.822,22.23,27.04,14,8.041,282.35,35.11,36,0.308,8.42,27.33,25
0.14,18.753428571428568,7,7,130,SMA,44,SMA,True,True,True,2.0,1.25,True,8.0,False,14,2.5,D,106.759,1591.71,14.91,9,1.907,60.24,31.6,17,6.735,182.92,27.16,12,6.925,275.57,39.79,22,1.498,39.47,26.34,14,7.31,264.1,36.13,36,0.14,4.76,34.02,25
0.139,23.639428571428578,7,7,130,SMA,44,SMA,True,True,True,3.0,1.25,True,12.0,False,14,2.5,D,139.382,3040.92,21.82,9,0.556,23.77,42.73,17,5.512,211.77,38.42,12,6.484,347.82,53.64,22,0.895,27.31,30.52,14,12.508,574.5,45.93,36,0.139,5.17,37.31,25
0.128,23.509857142857147,7,7,130,SMA,60,SMA,True,True,True,2.0,1.0,True,8.0,False,14,2.5,D,110.59,2050.7,18.54,9,0.128,4.85,37.95,15,25.282,244.97,9.69,12,23.582,607.99,25.78,13,0.752,21.2,28.19,11,3.899,199.37,51.13,33,0.336,8.78,26.18,19
0.092,2.518142857142857,7,7,100,SMA,44,SMA,True,True,True,4.0,2.0,True,9.0,False,14,2.5,D,0.902,47.41,52.58,16,0.601,25.99,43.21,23,0.092,4.47,48.81,17,2.36,169.47,71.81,38,1.452,55.88,38.49,17,11.862,867.12,73.1,41,0.358,16.02,44.74,33
0.088,29.095571428571425,7,7,130,SMA,30,SMA,True,True,True,2.0,1.25,True,4.0,False,14,2.5,D,180.088,1411.89,7.84,10,1.046,25.99,24.86,21,1.676,33.21,19.81,16,9.64,358.32,37.17,32,5.776,88.41,15.31,20,5.355,209.18,39.06,46,0.088,2.44,27.76,33
0.085,31.254857142857144,7,7,100,SMA,44,SMA,True,True,True,2.0,1.0,True,12.0,False,14,2.5,D,157.392,4279.54,27.19,13,0.342,11.57,33.82,22,6.113,214.92,35.16,17,48.24,1005.23,20.84,37,0.565,14.39,25.49,17,6.047,306.05,50.62,41,0.085,2.66,31.17,33
0.079,25.104000000000003,7,7,100,SMA,60,SMA,True,True,True,2.0,1.25,True,12.0,False,14,2.5,D,117.507,2433.29,20.71,12,0.433,15.62,36.05,19,17.113,273.26,15.97,17,37.706,815.45,21.63,28,0.079,3.32,41.9,14,2.565,159.38,62.14,38,0.325,12.13,37.26,27
0.078,16.801428571428573,7,7,160,SMA,44,SMA,True,True,True,2.0,2.0,True,12.0,False,14,2.5,D,98.658,1835.92,18.61,8,2.951,100.12,33.93,18,2.275,91.28,40.12,14,10.506,577.36,54.96,27,0.424,15.84,37.35,16,2.718,159.51,58.69,39,0.078,3.73,47.79,26
0.066,22.42214285714286,7,7,130,SMA,44,SMA,True,True,True,3.0,2.0,True,12.0,False,14,2.5,D,135.114,2947.81,21.82,9,2.14,94.22,44.03,17,6.204,238.35,38.42,12,3.58,213.21,59.56,22,1.553,58.62,37.75,14,8.298,417.52,50.31,36,0.066,3.13,47.36,25
0.061,2.154714285714286,7,7,100,SMA,44,SMA,True,True,True,3.0,2.0,True,8.0,False,14,2.5,D,1.02,47.04,46.13,16,1.572,61.87,39.36,23,0.061,2.75,45.31,17,2.353,159.11,67.62,38,1.895,65.95,34.8,17,7.8,506.39,64.92,41,0.382,15.56,40.69,33
0.058,4.888142857142857,7,7,160,SMA,44,SMA,True,True,True,4.0,2.0,True,9.0,False,14,2.5,D,7.102,219.05,30.84,8,6.968,171.7,24.64,18,6.577,259.15,39.4,14,3.911,286.96,73.37,27,1.394,37.98,27.25,16,8.207,572.19,69.72,39,0.058,2.65,45.96,26
0.055,7.240285714285714,7,7,130,SMA,44,SMA,True,True,True,4.0,1.0,True,12.0,False,14,2.5,D,12.048,409.21,33.97,9,0.055,2.3,42.16,17,6.326,264.21,41.76,12,6.818,393.05,57.65,22,0.514,13.89,27.04,14,24.599,1138.37,46.28,36,0.322,12.08,37.51,25
0.033,23.86185714285714,7,7,130,SMA,44,SMA,True,True,True,3.0,1.0,True,12.0,False,14,2.5,D,140.804,3071.96,21.82,9,0.108,4.56,42.16,17,5.279,202.79,38.42,12,6.078,325.2,53.5,22,0.706,19.09,27.04,14,14.025,623.17,44.43,36,0.033,1.22,36.71,25
0.024,4.5238571428571435,7,7,160,SMA,44,SMA,True,True,True,3.0,2.0,True,8.0,False,14,2.5,D,7.709,191.2,24.8,8,7.758,171.69,22.13,18,5.411,192.21,35.52,14,2.849,198.35,69.62,27,1.932,45.9,23.76,16,5.984,374.14,62.52,39,0.024,1.1,44.87,26
0.001,5.371142857142857,7,7,100,SMA,44,SMA,True,True,True,2.0,1.25,True,6.0,False,14,2.5,D,19.877,435.81,21.93,14,1.163,35.22,30.3,23,0.001,0.02,34.72,17,8.928,276.04,30.92,37,1.38,37.43,27.13,17,5.76,291.04,50.53,41,0.489,13.83,28.27,33
-0.001,3.695285714285714,6,7,100,SMA,44,SMA,True,True,True,4.0,1.25,True,9.0,False,14,2.5,D,0.902,47.41,52.58,16,0.272,9.11,33.53,22,-0.001,-0.04,44.92,17,5.617,317.0,56.43,38,0.409,13.97,34.14,17,18.543,1252.24,67.53,41,0.125,5.28,42.38,33
-0.012,5.049714285714286,6,7,100,SMA,60,SMA,True,True,True,2.0,1.25,True,4.0,False,14,2.5,D,13.321,245.93,18.46,15,1.07,26.74,24.99,20,-0.012,-0.29,24.01,17,11.559,431.01,37.29,29,2.091,51.98,24.86,14,6.19,302.83,48.92,38,1.129,31.07,27.53,27
-0.02,13.678714285714289,6,7,100,SMA,60,SMA,True,True,True,2.0,2.0,True,8.0,False,14,2.5,D,83.699,1964.31,23.47,13,0.65,28.09,43.21,20,-0.02,-0.54,27.84,17,7.254,365.29,50.36,28,1.409,59.47,42.21,14,2.143,139.15,64.92,38,0.616,26.52,43.09,27
-0.021,4.959857142857142,6,7,100,SMA,60,SMA,True,True,True,3.0,2.0,True,6.0,False,14,2.5,D,11.826,314.67,26.61,15,1.134,40.08,35.33,20,-0.021,-0.71,34.02,17,10.95,556.01,50.78,29,2.39,84.01,35.15,14,8.152,520.48,63.85,38,0.288,11.32,39.27,27
-0.022,28.58542857142857,6,7,130,SMA,30,SMA,True,True,True,2.0,1.0,True,4.0,False,14,2.5,D,180.088,1411.89,7.84,10,0.397,9.87,24.86,21,1.364,27.02,19.81,16,8.885,338.27,38.07,32,3.819,58.27,15.26,20,5.567,215.51,38.71,46,-0.022,-0.57,25.79,33
-0.026,3.7939999999999996,6,7,160,SMA,44,SMA,True,True,True,2.0,1.25,True,6.0,False,14,2.5,D,7.885,144.1,18.28,8,5.358,90.77,16.94,18,4.715,130.46,27.67,14,2.665,151.84,56.98,27,1.468,27.1,18.46,16,4.493,220.0,48.96,39,-0.026,-0.9,34.79,26
-0.03,20.99257142857143,6,7,130,SMA,60,SMA,True,True,True,2.0,1.0,True,9.0,False,14,2.5,D,96.457,1958.49,20.3,9,-0.03,-1.24,40.6,15,24.889,241.16,9.69,12,20.644,581.67,28.18,13,0.734,20.85,28.41,11,3.805,195.46,51.36,33,0.449,11.47,25.53,19
-0.044,13.068,6,7,160,SMA,44,SMA,True,True,True,2.0,2.0,True,9.0,False,14,2.5,D,74.397,1178.01,15.83,8,5.053,124.51,24.64,18,2.936,105.27,35.85,14,4.887,314.01,64.26,27,1.522,39.89,26.2,16,2.725,158.36,58.12,39,-0.044,-2.12,47.96,26
-0.051,33.706857142857146,6,7,100,SMA,60,SMA,True,True,True,2.0,1.0,True,12.0,False,14,2.5,D,171.624,2622.85,15.28,12,0.093,3.19,34.38,19,19.972,278.48,13.94,17,40.903,820.42,20.06,28,-0.051,-1.9,37.33,14,3.234,191.05,59.07,38,0.173,6.08,35.19,27
-0.064,5.609571428571429,6,7,100,SMA,44,SMA,True,True,True,2.0,1.0,True,6.0,False,14,2.5,D,19.877,435.81,21.93,14,1.509,36.53,24.21,22,-0.064,-2.15,33.46,17,9.43,266.51,28.26,37,0.908,22.75,25.06,17,7.287,341.38,46.85,41,0.32,8.72,27.27,33
-0.064,4.708714285714286,6,7,100,SMA,44,SMA,True,True,True,3.0,2.0,True,9.0,False,14,2.5,D,20.372,640.18,31.43,14,1.159,50.07,43.21,23,-0.064,-3.07,48.21,17,3.085,188.7,61.17,37,1.474,56.42,38.26,17,6.569,440.12,67.0,41,0.366,15.13,41.38,33
-0.068,3.8161428571428573,6,7,100,SMA,30,SMA,True,True,True,2.0,1.25,True,4.0,False,14,2.5,D,4.136,160.18,38.73,17,0.655,18.25,27.86,25,4.015,76.84,19.14,20,9.308,422.42,45.38,46,4.387,83.22,18.97,23,4.28,222.33,51.94,52,-0.068,-2.34,34.52,40
-0.072,2.923428571428571,6,7,100,SMA,44,SMA,True,True,True,3.0,1.25,True,8.0,False,14,2.5,D,1.02,47.04,46.13,16,1.065,32.6,30.6,22,-0.072,-3.01,42.05,17,5.788,292.29,50.5,38,0.682,21.63,31.7,17,11.84,698.5,59.0,41,0.141,5.4,38.16,33
-0.079,4.703000000000001,6,7,100,SMA,60,SMA,True,True,True,2.0,2.0,True,6.0,False,14,2.5,D,16.949,394.35,23.27,13,1.598,56.18,35.15,20,-0.079,-2.44,30.75,17,8.452,386.39,45.71,28,2.39,84.01,35.15,14,3.466,201.55,58.15,38,0.145,5.51,37.98,27
-0.082,11.256285714285713,6,7,130,SMA,60,SMA,True,True,True,3.0,1.0,True,9.0,False,14,2.5,D,26.796,544.08,20.3,9,-0.082,-3.34,40.6,15,12.205,282.8,23.17,12,30.06,968.37,32.21,13,0.571,16.22,28.41,11,8.645,486.46,56.27,33,0.599,16.9,28.21,19
-0.084,2.952714285714286,6,7,100,SMA,44,SMA,True,True,True,3.0,1.0,True,8.0,False,14,2.5,D,1.02,47.04,46.13,16,0.53,15.33,28.94,22,-0.084,-3.35,39.69,17,5.355,283.27,52.9,38,0.378,10.93,28.89,17,13.45,768.51,57.14,41,0.02,0.75,37.3,33
-0.088,13.921571428571427,6,7,160,SMA,44,SMA,True,True,True,2.0,2.0,True,8.0,False,14,2.5,D,80.913,1206.36,14.91,8,6.594,145.94,22.13,18,3.522,116.18,32.99,14,1.524,101.89,66.85,27,2.02,46.9,23.22,16,2.966,168.95,56.96,39,-0.088,-4.27,48.52,26
-0.093,5.005857142857143,6,7,100,SMA,60,SMA,True,True,True,2.0,1.0,True,4.0,False,14,2.5,D,13.321,245.93,18.46,15,0.427,11.08,25.94,20,-0.093,-2.15,23.14,17,12.989,458.35,35.29,29,1.275,31.68,24.86,14,6.235,306.23,49.12,38,0.887,22.88,25.8,27
-0.1,3.735428571428571,6,7,160,SMA,44,SMA,True,True,True,3.0,2.0,True,9.0,False,14,2.5,D,6.873,181.65,26.43,8,6.01,148.11,24.64,18,4.477,174.37,38.95,14,2.327,168.78,72.53,27,1.457,38.93,26.73,16,5.104,330.91,64.83,39,-0.1,-4.97,49.86,26
-0.102,13.849857142857138,6,7,100,SMA,44,SMA,True,True,True,2.0,2.0,True,8.0,False,14,2.5,D,86.457,2451.99,28.36,14,2.041,78.13,38.27,23,-0.102,-4.57,44.67,17,2.145,120.55,56.19,37,2.401,77.36,32.22,17,3.538,206.52,58.37,41,0.469,17.88,38.14,33
-0.102,16.934142857142856,6,7,160,SMA,44,SMA,True,True,True,2.0,1.25,True,12.0,False,14,2.5,D,98.658,1835.92,18.61,8,1.705,44.9,26.33,18,2.14,85.87,40.12,14,10.922,556.32,50.93,27,0.102,3.28,32.33,16,5.114,249.87,48.86,39,-0.102,-4.64,45.47,26
-0.12,11.357285714285712,6,7,100,SMA,60,SMA,True,True,True,2.0,2.0,True,9.0,False,14,2.5,D,69.857,1811.91,25.94,13,0.315,14.75,46.82,20,-0.12,-3.63,30.17,17,6.029,325.66,54.01,28,1.018,46.71,45.88,14,1.833,122.85,67.02,38,0.569,25.34,44.53,27
-0.135,5.731428571428572,6,7,160,SMA,44,SMA,True,True,True,4.0,1.25,True,9.0,False,14,2.5,D,7.102,219.05,30.84,8,4.898,103.95,21.22,18,6.312,248.69,39.4,14,7.505,449.84,59.94,27,0.263,7.69,29.22,16,14.175,875.4,61.76,39,-0.135,-6.01,44.54,26
-0.141,4.074142857142858,6,7,160,SMA,44,SMA,True,True,True,2.0,1.0,True,6.0,False,14,2.5,D,7.885,144.1,18.28,8,4.329,73.35,16.94,18,4.621,127.86,27.67,14,5.102,218.65,42.86,27,0.765,15.11,19.76,16,5.958,262.76,44.1,39,-0.141,-4.65,32.97,26
-0.163,5.875285714285714,6,7,100,SMA,44,SMA,True,True,True,3.0,1.25,True,9.0,False,14,2.5,D,20.372,640.18,31.43,14,0.917,30.12,32.84,22,-0.163,-7.21,44.28,17,8.719,348.57,39.98,37,0.424,14.36,33.9,17,10.738,646.05,60.16,41,0.12,4.49,37.47,33
-0.164,22.720142857142857,6,7,100,SMA,30,SMA,True,True,True,2.0,2.0,True,8.0,False,14,2.5,D,143.754,4076.97,28.36,15,0.301,13.83,46.0,25,2.421,72.13,29.79,20,7.842,441.1,56.25,44,3.811,122.96,32.27,23,1.076,70.97,65.97,52,-0.164,-7.71,46.97,40
-0.164,4.681428571428571,6,7,160,SMA,44,SMA,True,True,True,3.0,1.25,True,8.0,False,14,2.5,D,7.709,191.2,24.8,8,4.176,92.43,22.13,18,5.173,183.76,35.52,14,5.714,314.14,54.98,27,0.458,12.3,26.83,16,9.704,525.0,54.1,39,-0.164,-6.69,40.68,26
-0.166,26.594142857142856,6,7,130,SMA,60,SMA,True,True,True,2.0,1.25,True,12.0,False,14,2.5,D,137.588,2220.26,16.14,9,-0.166,-8.29,49.97,15,19.286,231.44,12.0,12,24.765,749.04,30.25,13,0.683,23.87,34.96,11,3.42,175.76,51.39,33,0.583,15.92,27.28,19
-0.169,18.446285714285715,6,7,100,SMA,30,SMA,True,True,True,2.0,2.0,True,9.0,False,14,2.5,D,117.263,3684.98,31.43,15,0.024,1.18,50.28,25,2.035,65.23,32.05,20,6.128,375.02,61.2,44,3.045,107.06,35.16,23,0.798,54.57,68.35,52,-0.169,-8.06,47.54,40
-0.173,16.979285714285716,6,7,160,SMA,44,SMA,True,True,True,2.0,1.0,True,12.0,False,14,2.5,D,98.658,1835.92,18.61,8,1.051,26.87,25.58,18,2.088,83.79,40.12,14,10.9,553.19,50.75,27,0.11,3.04,27.72,16,6.221,280.95,45.16,39,-0.173,-7.73,44.69,26
-0.184,3.551571428571428,6,7,100,SMA,30,SMA,True,True,True,2.0,1.0,True,4.0,False,14,2.5,D,4.136,160.18,38.73,17,0.154,4.31,27.92,25,3.835,69.86,18.22,20,9.776,434.5,44.45,46,2.816,53.28,18.92,23,4.328,226.42,52.32,52,-0.184,-6.15,33.42,40
-0.187,24.827571428571424,6,7,130,SMA,30,SMA,True,True,True,3.0,2.0,True,8.0,False,14,2.5,D,149.451,2295.56,15.36,10,0.091,4.0,44.22,21,0.921,30.89,33.54,16,15.242,879.65,57.71,32,4.203,120.58,28.69,20,4.072,231.55,56.86,46,-0.187,-8.83,47.14,33
-0.19,12.244857142857144,6,7,100,SMA,44,SMA,True,True,True,2.0,2.0,True,9.0,False,14,2.5,D,72.034,2263.67,31.43,14,1.508,62.68,41.56,23,-0.19,-9.05,47.61,17,6.709,352.7,52.57,37,2.013,70.68,35.11,17,3.139,189.65,60.42,41,0.501,19.58,39.05,33
-0.194,4.891714285714285,6,7,100,SMA,44,SMA,True,True,True,2.0,2.0,True,6.0,False,14,2.5,D,19.877,435.81,21.93,14,2.676,82.98,31.01,23,0.185,7.12,38.51,17,2.906,142.12,48.9,37,3.707,100.58,27.13,17,5.085,261.25,51.38,41,-0.194,-6.62,34.02,33
