review_date,train_start,forward_start,forward_end,label,train_pl_pct,train_dd,train_calmar,train_trades,forward_pl_pct,forward_dd,forward_calmar,forward_trades,walk_capital
2022-03-15,2021-03-15,2022-03-16,2022-09-15,S130S_F60S_LL3.0_LS0.50_SL6,181.36,11.64,24.96,6,-14.62,20.28,-1.54,16,853.8
2022-09-15,2021-09-15,2022-09-16,2023-03-15,S130E_F60S_LL3.0_LS0.50_SL4,118.4,11.92,10.105,19,-2.63,15.22,-0.461,9,831.35
2023-03-15,2022-03-15,2023-03-16,2023-09-15,S100E_F60S_LL4.0_LS0.50_SL4,94.93,17.39,5.602,17,-13.56,17.79,-2.532,13,718.61
2023-09-15,2022-09-15,2023-09-16,2024-03-15,S100E_F52S_LL4.0_LS0.50_SL4,138.83,16.59,9.435,17,195.44,10.93,39.328,6,2123.08
2024-03-15,2023-03-15,2024-03-16,2024-09-15,S130S_F52S_LL4.0_LS0.50_SL6,521.26,17.9,33.445,16,9.05,21.58,0.952,14,2315.21
2024-09-15,2023-09-15,2024-09-16,2025-03-15,S130S_F52S_LL4.0_LS0.50_SL6,482.96,21.58,23.559,19,65.99,19.24,7.592,9,3843.02
2025-03-15,2024-03-15,2025-03-16,2025-09-15,S130S_F44S_LL2.0_LS0.50_SL3,64.13,12.99,5.01,23,-10.05,10.05,-4.936,4,3456.8
2025-09-15,2024-09-15,2025-09-16,2026-03-15,S100S_F44S_LL2.0_LS0.50_SL6,289.79,17.8,17.04,18,5.84,15.41,0.854,9,3658.68
2026-03-15,2025-03-15,2026-03-16,2026-04-13,S100S_F44S_LL2.0_LS0.50_SL6,209.55,15.41,15.374,13,-2.83,2.83,-10.0,1,3555.14
