min_calmar,mean_calmar,n_positive,n_periods,slow_ma_len,slow_ma_type,fast_ma_len,fast_ma_type,allow_longs,allow_shorts,use_fast_ma,leverage_long,leverage_short,sl_enable,sl_risk_pct,atr_sl_enable,atr_sl_len,atr_sl_mult,signal_tf,calmar_btc_p1_bull_2017,ann_btc_p1_bull_2017,maxdd_btc_p1_bull_2017,trades_btc_p1_bull_2017,calmar_btc_p2_bear_2018,ann_btc_p2_bear_2018,maxdd_btc_p2_bear_2018,trades_btc_p2_bear_2018,calmar_btc_p3_sideways_2019,ann_btc_p3_sideways_2019,maxdd_btc_p3_sideways_2019,trades_btc_p3_sideways_2019,calmar_btc_p4_bull_2020_2021,ann_btc_p4_bull_2020_2021,maxdd_btc_p4_bull_2020_2021,trades_btc_p4_bull_2020_2021,calmar_btc_p5_bear_2022,ann_btc_p5_bear_2022,maxdd_btc_p5_bear_2022,trades_btc_p5_bear_2022,calmar_btc_p6_bull_2023_2024,ann_btc_p6_bull_2023_2024,maxdd_btc_p6_bull_2023_2024,trades_btc_p6_bull_2023_2024,calmar_btc_p7_current_2025,ann_btc_p7_current_2025,maxdd_btc_p7_current_2025,trades_btc_p7_current_2025
0.0,28.46828571428571,6,7,100,SMA,30,SMA,True,True,True,3.0,2.0,True,9.0,False,14,2.5,D,177.099,4364.24,24.64,12,0.063,3.33,52.85,24,2.418,87.56,36.22,19,15.446,962.74,62.33,44,2.356,89.97,38.19,23,1.896,144.06,76.0,52,0.0,0.0,51.01,37
-0.023,23.069000000000006,6,7,100,SMA,30,SMA,True,True,True,2.0,1.0,True,9.0,False,14,2.5,D,146.084,3599.92,24.64,12,0.192,5.8,30.26,24,1.893,52.43,27.7,19,10.276,504.14,49.06,44,1.037,28.33,27.33,23,2.024,119.76,59.17,52,-0.023,-0.86,36.63,37
-0.024,30.857428571428567,6,7,130,SMA,30,SMA,True,True,True,4.0,2.0,True,9.0,False,14,2.5,D,181.788,3124.93,17.19,7,-0.024,-1.03,43.21,20,0.862,32.76,37.99,15,25.041,1559.29,62.27,32,3.236,102.69,31.74,20,4.933,330.78,67.06,46,0.166,7.57,45.56,30
-0.03,47.98271428571429,6,7,130,SMA,60,SMA,True,True,True,2.0,1.0,True,9.0,False,14,2.5,D,278.842,2945.45,10.56,7,-0.03,-1.24,40.6,15,30.64,296.89,9.69,11,20.644,581.67,28.18,13,0.734,20.85,28.41,11,3.805,195.46,51.36,33,1.244,30.22,24.29,17
-0.035,19.57542857142857,6,7,100,SMA,44,SMA,True,True,True,2.0,2.0,True,9.0,False,14,2.5,D,122.483,3018.33,24.64,13,1.508,62.68,41.56,23,-0.035,-1.49,42.55,14,6.709,352.7,52.57,37,2.013,70.68,35.11,17,3.221,194.6,60.42,40,1.129,44.08,39.05,30
-0.038,5.841857142857143,6,7,100,SMA,60,SMA,True,True,True,4.0,2.0,True,8.0,False,14,2.5,D,16.684,514.24,30.82,14,0.109,5.18,47.44,20,-0.038,-1.39,36.43,16,11.633,684.71,58.86,29,1.126,49.77,44.22,14,9.956,745.59,74.89,38,1.423,64.67,45.44,25
-0.042,21.596714285714285,6,7,100,SMA,30,SMA,True,True,True,2.0,1.25,True,12.0,False,14,2.5,D,122.031,3887.04,31.85,11,0.209,7.44,35.6,24,10.696,363.44,33.98,19,15.927,722.51,45.36,44,1.055,34.63,32.82,23,1.301,82.38,63.3,52,-0.042,-1.72,41.02,37
-0.048,41.294,6,7,100,SMA,30,SMA,True,True,True,3.0,2.0,True,12.0,False,14,2.5,D,262.602,8364.59,31.85,12,0.853,35.77,41.91,24,2.121,84.63,39.91,19,20.185,1142.86,56.62,44,1.781,73.74,41.41,23,1.564,118.99,76.09,52,-0.048,-2.59,53.48,37
-0.051,35.33828571428571,6,7,100,SMA,60,SMA,True,True,True,2.0,1.0,True,12.0,False,14,2.5,D,180.046,2751.56,15.28,11,0.093,3.19,34.38,19,22.571,314.72,13.94,16,40.903,820.42,20.06,28,-0.051,-1.9,37.33,14,3.234,191.05,59.07,38,0.572,20.13,35.19,25
-0.054,28.085285714285714,6,7,100,SMA,30,SMA,True,True,True,2.0,1.0,True,8.0,False,14,2.5,D,178.056,3940.59,22.13,12,0.342,9.47,27.67,24,2.201,57.47,26.1,19,12.689,562.83,44.35,44,1.108,30.04,27.11,23,2.255,131.77,58.43,52,-0.054,-1.95,36.38,37
-0.058,4.156857142857143,6,7,100,SMA,30,SMA,True,True,True,4.0,2.0,True,8.0,False,14,2.5,D,1.796,107.81,60.04,14,0.052,2.56,49.3,24,4.32,145.36,33.64,19,14.768,1035.66,70.13,46,3.116,108.54,34.83,23,5.104,398.3,78.04,52,-0.058,-3.27,56.29,37
-0.065,8.11357142857143,6,7,100,SMA,44,SMA,True,True,True,3.0,1.25,True,9.0,False,14,2.5,D,35.004,862.6,24.64,13,0.917,30.12,32.84,22,-0.065,-2.67,41.0,14,8.719,348.57,39.98,37,0.424,14.36,33.9,17,10.929,657.54,60.16,40,0.867,29.25,33.73,30
-0.082,14.807285714285713,6,7,130,SMA,60,SMA,True,True,True,3.0,1.0,True,9.0,False,14,2.5,D,47.951,926.58,19.32,7,-0.082,-3.34,40.6,15,14.974,346.96,23.17,11,30.06,968.37,32.21,13,0.571,16.22,28.41,11,8.645,486.46,56.27,33,1.532,41.99,27.41,17
-0.096,26.18628571428571,6,7,100,SMA,30,SMA,True,True,True,2.0,1.0,True,12.0,False,14,2.5,D,153.986,4186.93,27.19,11,0.077,2.6,33.82,24,10.885,352.58,32.39,19,16.108,713.11,44.27,44,0.689,20.47,29.73,23,1.655,99.45,60.11,52,-0.096,-3.72,38.72,37
-0.101,4.898142857142857,6,7,100,SMA,30,SMA,True,True,True,3.0,1.0,True,6.0,False,14,2.5,D,2.436,120.29,49.37,14,0.451,10.92,24.21,24,3.869,97.26,25.14,19,19.54,944.91,48.36,46,1.36,34.08,25.07,23,6.732,430.31,63.92,52,-0.101,-4.24,41.91,37
-0.101,21.689428571428568,6,7,130,SMA,30,SMA,True,True,True,2.0,1.25,True,9.0,False,14,2.5,D,124.925,2147.46,17.19,7,0.088,3.73,42.58,20,10.596,294.57,27.8,15,12.299,570.78,46.41,32,1.795,51.9,28.92,20,2.224,109.68,49.32,46,-0.101,-3.08,30.45,30
-0.109,8.06042857142857,6,7,100,SMA,44,SMA,True,True,True,4.0,2.0,True,12.0,False,14,2.5,D,34.678,1104.59,31.85,13,1.263,54.93,43.51,22,-0.109,-5.73,52.53,14,7.769,396.2,51.0,37,0.622,27.85,44.79,17,11.248,818.55,72.77,40,0.952,42.85,45.01,30
-0.115,8.216714285714286,6,7,100,SMA,44,SMA,True,True,True,3.0,1.0,True,9.0,False,14,2.5,D,35.004,862.6,24.64,13,0.421,13.16,31.24,22,-0.115,-4.56,39.58,14,8.313,346.46,41.68,37,0.288,8.37,29.1,17,12.886,739.88,57.42,40,0.72,22.72,31.55,30
-0.115,25.125857142857143,6,7,130,SMA,30,SMA,True,True,True,2.0,1.25,True,8.0,False,14,2.5,D,144.754,2223.42,15.36,7,0.364,14.33,39.36,20,11.764,308.27,26.21,15,14.514,620.86,42.78,32,2.137,56.74,26.55,20,2.463,117.73,47.8,46,-0.115,-3.8,32.91,30
-0.124,7.938571428571429,6,7,100,SMA,60,SMA,True,True,True,2.0,1.25,True,6.0,False,14,2.5,D,24.093,560.56,23.27,12,0.205,7.07,34.48,20,-0.124,-3.04,24.47,16,25.744,639.27,24.83,28,0.696,24.47,35.15,14,3.862,219.78,56.91,38,1.094,35.15,32.12,25
-0.124,8.720857142857142,6,7,100,SMA,60,SMA,True,True,True,3.0,1.0,True,6.0,False,14,2.5,D,18.813,450.31,23.94,14,0.361,9.84,27.23,19,-0.124,-3.41,27.5,16,30.499,871.28,28.57,29,0.364,11.88,32.67,14,10.025,609.86,60.83,38,1.108,34.74,31.34,25
-0.131,21.541,6,7,130,SMA,30,SMA,True,True,True,3.0,1.25,True,9.0,False,14,2.5,D,114.299,1964.79,17.19,7,0.035,1.51,42.58,20,10.772,391.86,36.38,15,19.93,989.48,49.65,32,1.591,46.01,28.92,20,4.291,242.51,56.52,46,-0.131,-4.76,36.43,30
-0.135,14.857714285714284,6,7,130,SMA,30,SMA,True,True,True,2.0,2.0,True,12.0,False,14,2.5,D,82.821,1868.43,22.56,7,0.362,19.4,53.56,20,9.461,307.32,32.48,15,7.592,446.56,58.82,32,2.456,93.4,38.03,20,1.447,76.87,53.13,46,-0.135,-5.88,43.6,30
-0.143,6.815428571428572,6,7,100,SMA,30,SMA,True,True,True,3.0,1.25,True,8.0,False,14,2.5,D,20.12,792.0,39.36,14,0.511,15.62,30.6,24,2.568,81.71,31.82,19,19.254,1123.28,58.34,45,1.237,38.95,31.5,23,4.161,286.47,68.85,52,-0.143,-6.14,42.84,37
-0.152,23.176571428571428,6,7,100,SMA,44,SMA,True,True,True,2.0,1.25,True,8.0,False,14,2.5,D,146.015,3231.48,22.13,13,1.569,46.04,29.35,22,-0.152,-5.78,37.92,14,6.966,230.06,33.02,37,1.03,29.86,28.99,17,5.858,300.7,51.34,40,0.95,29.29,30.83,30
